pair,mode,subject,window_ms,accuracy,n_test
EPS/SPS,fbc,1,4000,57.77777777777777,90
EPS/SPS,fbc,2,4000,46.25,80
EPS/SPS,fbc,3,4000,73.75,80
EPS/SPS,fbc,4,4000,57.49999999999999,80
EPS/SPS,fbc,5,4000,55.00000000000001,80
EPS/SPS,fbc,6,4000,57.49999999999999,80
EPS/SPS,fbc,7,4000,76.25,80
EPS/SPS,fbc,8,4000,56.25,80
EPS/SPS,fbc,9,4000,65.0,80
EPS/SPS,fbc,10,4000,67.5,80
EPS/SPS,fbc,11,4000,58.75,80
EPS/SPS,fbc,12,4000,55.00000000000001,80
EPS/SPS,fbc,13,4000,66.25,80
EPS/SPS,fbc,14,4000,40.0,80
EPS/SPS,fbc,15,4000,52.5,80
EPS/SPS,fbc,16,4000,53.75,80
EPS/SPS,fbc,17,4000,57.49999999999999,80
EPS/SPS,fbc,18,4000,63.74999999999999,80
