pair,mode,subject,window_ms,accuracy,n_test
HOC/EFE,fbc,1,4000,71.11111111111111,90
HOC/EFE,fbc,2,4000,50.0,80
HOC/EFE,fbc,3,4000,55.00000000000001,80
HOC/EFE,fbc,4,4000,71.25,80
HOC/EFE,fbc,5,4000,47.5,80
HOC/EFE,fbc,6,4000,51.24999999999999,80
HOC/EFE,fbc,7,4000,67.5,80
HOC/EFE,fbc,8,4000,41.25,80
HOC/EFE,fbc,9,4000,65.0,80
HOC/EFE,fbc,10,4000,65.0,80
HOC/EFE,fbc,11,4000,47.5,80
HOC/EFE,fbc,12,4000,50.0,80
HOC/EFE,fbc,13,4000,61.25000000000001,80
HOC/EFE,fbc,14,4000,56.25,80
HOC/EFE,fbc,15,4000,56.25,80
HOC/EFE,fbc,16,4000,50.0,80
HOC/EFE,fbc,17,4000,61.25000000000001,80
HOC/EFE,fbc,18,4000,68.75,80
