pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/SFE,fbc,1,4000,1,83.33333333333333,83.33333333333333,18
HOC/SFE,fbc,1,4000,2,72.22222222222223,72.22222222222223,18
HOC/SFE,fbc,1,4000,3,50.0,72.22222222222223,18
HOC/SFE,fbc,1,4000,4,72.22222222222223,83.33333333333333,18
HOC/SFE,fbc,1,4000,5,72.22222222222223,72.22222222222223,18
HOC/SFE,fbc,2,4000,1,68.75,68.75,16
HOC/SFE,fbc,2,4000,2,37.5,56.25,16
HOC/SFE,fbc,2,4000,3,62.5,81.25,16
HOC/SFE,fbc,2,4000,4,50.0,62.5,16
HOC/SFE,fbc,2,4000,5,31.25,75.0,16
HOC/SFE,fbc,3,4000,1,81.25,100.0,16
HOC/SFE,fbc,3,4000,2,75.0,100.0,16
HOC/SFE,fbc,3,4000,3,81.25,93.75,16
HOC/SFE,fbc,3,4000,4,93.75,87.5,16
HOC/SFE,fbc,3,4000,5,75.0,93.75,16
HOC/SFE,fbc,4,4000,1,93.75,87.5,16
HOC/SFE,fbc,4,4000,2,87.5,81.25,16
HOC/SFE,fbc,4,4000,3,81.25,93.75,16
HOC/SFE,fbc,4,4000,4,68.75,68.75,16
HOC/SFE,fbc,4,4000,5,81.25,87.5,16
HOC/SFE,fbc,5,4000,1,70.58823529411765,81.25,17
HOC/SFE,fbc,5,4000,2,62.5,82.3529411764706,16
HOC/SFE,fbc,5,4000,3,56.25,88.23529411764706,16
HOC/SFE,fbc,5,4000,4,50.0,58.8235294117647,16
HOC/SFE,fbc,5,4000,5,62.5,82.3529411764706,16
HOC/SFE,fbc,6,4000,1,56.25,62.5,16
HOC/SFE,fbc,6,4000,2,56.25,75.0,16
HOC/SFE,fbc,6,4000,3,75.0,62.5,16
HOC/SFE,fbc,6,4000,4,56.25,50.0,16
HOC/SFE,fbc,6,4000,5,56.25,62.5,16
HOC/SFE,fbc,7,4000,1,62.5,75.0,16
HOC/SFE,fbc,7,4000,2,62.5,62.5,16
HOC/SFE,fbc,7,4000,3,56.25,56.25,16
HOC/SFE,fbc,7,4000,4,56.25,68.75,16
HOC/SFE,fbc,7,4000,5,68.75,50.0,16
HOC/SFE,fbc,8,4000,1,68.75,56.25,16
HOC/SFE,fbc,8,4000,2,56.25,75.0,16
HOC/SFE,fbc,8,4000,3,50.0,50.0,16
HOC/SFE,fbc,8,4000,4,56.25,62.5,16
HOC/SFE,fbc,8,4000,5,50.0,56.25,16
HOC/SFE,fbc,9,4000,1,56.25,68.75,16
HOC/SFE,fbc,9,4000,2,62.5,62.5,16
HOC/SFE,fbc,9,4000,3,56.25,75.0,16
HOC/SFE,fbc,9,4000,4,56.25,68.75,16
HOC/SFE,fbc,9,4000,5,62.5,50.0,16
HOC/SFE,fbc,10,4000,1,75.0,56.25,16
HOC/SFE,fbc,10,4000,2,56.25,81.25,16
HOC/SFE,fbc,10,4000,3,87.5,75.0,16
HOC/SFE,fbc,10,4000,4,56.25,87.5,16
HOC/SFE,fbc,10,4000,5,56.25,75.0,16
HOC/SFE,fbc,11,4000,1,50.0,68.75,16
HOC/SFE,fbc,11,4000,2,56.25,75.0,16
HOC/SFE,fbc,11,4000,3,43.75,56.25,16
HOC/SFE,fbc,11,4000,4,75.0,75.0,16
HOC/SFE,fbc,11,4000,5,62.5,56.25,16
HOC/SFE,fbc,12,4000,1,50.0,56.25,16
HOC/SFE,fbc,12,4000,2,50.0,50.0,16
HOC/SFE,fbc,12,4000,3,43.75,56.25,16
HOC/SFE,fbc,12,4000,4,31.25,62.5,16
HOC/SFE,fbc,12,4000,5,37.5,50.0,16
HOC/SFE,fbc,13,4000,1,68.75,50.0,16
HOC/SFE,fbc,13,4000,2,87.5,68.75,16
HOC/SFE,fbc,13,4000,3,56.25,75.0,16
HOC/SFE,fbc,13,4000,4,50.0,75.0,16
HOC/SFE,fbc,13,4000,5,62.5,62.5,16
HOC/SFE,fbc,14,4000,1,68.75,50.0,16
HOC/SFE,fbc,14,4000,2,37.5,50.0,16
HOC/SFE,fbc,14,4000,3,37.5,50.0,16
HOC/SFE,fbc,14,4000,4,50.0,62.5,16
HOC/SFE,fbc,14,4000,5,37.5,50.0,16
HOC/SFE,fbc,15,4000,1,43.75,75.0,16
HOC/SFE,fbc,15,4000,2,43.75,68.75,16
HOC/SFE,fbc,15,4000,3,68.75,75.0,16
HOC/SFE,fbc,15,4000,4,37.5,56.25,16
HOC/SFE,fbc,15,4000,5,50.0,68.75,16
HOC/SFE,fbc,16,4000,1,50.0,56.25,16
HOC/SFE,fbc,16,4000,2,62.5,93.75,16
HOC/SFE,fbc,16,4000,3,50.0,62.5,16
HOC/SFE,fbc,16,4000,4,50.0,75.0,16
HOC/SFE,fbc,16,4000,5,68.75,87.5,16
HOC/SFE,fbc,17,4000,1,62.5,93.75,16
HOC/SFE,fbc,17,4000,2,75.0,75.0,16
HOC/SFE,fbc,17,4000,3,75.0,75.0,16
HOC/SFE,fbc,17,4000,4,62.5,68.75,16
HOC/SFE,fbc,17,4000,5,87.5,75.0,16
HOC/SFE,fbc,18,4000,1,87.5,81.25,16
HOC/SFE,fbc,18,4000,2,81.25,75.0,16
HOC/SFE,fbc,18,4000,3,93.75,81.25,16
HOC/SFE,fbc,18,4000,4,75.0,87.5,16
HOC/SFE,fbc,18,4000,5,81.25,81.25,16
