pair,mode,subject,window_ms,accuracy,n_test
HOC/SPS,fbc,1,4000,74.44444444444444,90
HOC/SPS,fbc,2,4000,52.5,80
HOC/SPS,fbc,3,4000,78.75,80
HOC/SPS,fbc,4,4000,82.5,80
HOC/SPS,fbc,5,4000,63.74999999999999,80
HOC/SPS,fbc,6,4000,63.74999999999999,80
HOC/SPS,fbc,7,4000,66.25,80
HOC/SPS,fbc,8,4000,51.24999999999999,80
HOC/SPS,fbc,9,4000,61.25000000000001,80
HOC/SPS,fbc,10,4000,81.25,80
HOC/SPS,fbc,11,4000,60.0,80
HOC/SPS,fbc,12,4000,57.49999999999999,80
HOC/SPS,fbc,13,4000,61.25000000000001,80
HOC/SPS,fbc,14,4000,45.0,80
HOC/SPS,fbc,15,4000,56.25,80
HOC/SPS,fbc,16,4000,63.74999999999999,80
HOC/SPS,fbc,17,4000,78.75,80
HOC/SPS,fbc,18,4000,80.0,80
