pair,mode,subject,window_ms,accuracy,n_test
SPS/SAA,fbc,1,4000,46.666666666666664,90
SPS/SAA,fbc,2,4000,42.5,80
SPS/SAA,fbc,3,4000,78.75,80
SPS/SAA,fbc,4,4000,81.25,80
SPS/SAA,fbc,5,4000,42.5,80
SPS/SAA,fbc,6,4000,47.5,80
SPS/SAA,fbc,7,4000,66.25,80
SPS/SAA,fbc,8,4000,55.00000000000001,80
SPS/SAA,fbc,9,4000,47.5,80
SPS/SAA,fbc,10,4000,60.0,80
SPS/SAA,fbc,11,4000,45.0,80
SPS/SAA,fbc,12,4000,53.75,80
SPS/SAA,fbc,13,4000,68.75,80
SPS/SAA,fbc,14,4000,58.75,80
SPS/SAA,fbc,15,4000,50.0,80
SPS/SAA,fbc,16,4000,56.25,80
SPS/SAA,fbc,17,4000,46.25,80
SPS/SAA,fbc,18,4000,61.25000000000001,80
