pair,mode,subject,window_ms,accuracy,n_test
WAA/EFE,fbc,1,4000,68.88888888888889,90
WAA/EFE,fbc,2,4000,55.00000000000001,80
WAA/EFE,fbc,3,4000,48.75,80
WAA/EFE,fbc,4,4000,61.25000000000001,80
WAA/EFE,fbc,5,4000,52.5,80
WAA/EFE,fbc,6,4000,52.5,80
WAA/EFE,fbc,7,4000,62.5,80
WAA/EFE,fbc,8,4000,51.24999999999999,80
WAA/EFE,fbc,9,4000,60.0,80
WAA/EFE,fbc,10,4000,45.0,80
WAA/EFE,fbc,11,4000,47.5,80
WAA/EFE,fbc,12,4000,45.0,80
WAA/EFE,fbc,13,4000,47.5,80
WAA/EFE,fbc,14,4000,68.75,80
WAA/EFE,fbc,15,4000,63.74999999999999,80
WAA/EFE,fbc,16,4000,56.25,80
WAA/EFE,fbc,17,4000,61.25000000000001,80
WAA/EFE,fbc,18,4000,60.0,80
