pair,mode,subject,window_ms,accuracy,n_test
WAA/EPS,fbc,1,4000,54.44444444444444,90
WAA/EPS,fbc,2,4000,48.75,80
WAA/EPS,fbc,3,4000,41.25,80
WAA/EPS,fbc,4,4000,68.75,80
WAA/EPS,fbc,5,4000,48.75,80
WAA/EPS,fbc,6,4000,48.75,80
WAA/EPS,fbc,7,4000,58.75,80
WAA/EPS,fbc,8,4000,53.75,80
WAA/EPS,fbc,9,4000,43.75,80
WAA/EPS,fbc,10,4000,40.0,80
WAA/EPS,fbc,11,4000,57.49999999999999,80
WAA/EPS,fbc,12,4000,46.25,80
WAA/EPS,fbc,13,4000,48.75,80
WAA/EPS,fbc,14,4000,55.00000000000001,80
WAA/EPS,fbc,15,4000,47.5,80
WAA/EPS,fbc,16,4000,51.24999999999999,80
WAA/EPS,fbc,17,4000,47.5,80
WAA/EPS,fbc,18,4000,47.5,80
