pair,mode,subject,window_ms,accuracy,n_test
WAA/SFE,fbc,1,4000,51.11111111111111,90
WAA/SFE,fbc,2,4000,38.75,80
WAA/SFE,fbc,3,4000,71.25,80
WAA/SFE,fbc,4,4000,81.25,80
WAA/SFE,fbc,5,4000,64.19753086419753,81
WAA/SFE,fbc,6,4000,57.49999999999999,80
WAA/SFE,fbc,7,4000,56.25,80
WAA/SFE,fbc,8,4000,51.24999999999999,80
WAA/SFE,fbc,9,4000,53.75,80
WAA/SFE,fbc,10,4000,68.75,80
WAA/SFE,fbc,11,4000,60.0,80
WAA/SFE,fbc,12,4000,46.25,80
WAA/SFE,fbc,13,4000,60.0,80
WAA/SFE,fbc,14,4000,60.0,80
WAA/SFE,fbc,15,4000,58.75,80
WAA/SFE,fbc,16,4000,60.0,80
WAA/SFE,fbc,17,4000,66.25,80
WAA/SFE,fbc,18,4000,76.25,80
