pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/EPS,fbc,1,4000,1,66.66666666666667,72.22222222222223,18
WFE/EPS,fbc,1,4000,2,44.44444444444444,61.111111111111114,18
WFE/EPS,fbc,1,4000,3,61.111111111111114,72.22222222222223,18
WFE/EPS,fbc,1,4000,4,38.888888888888886,72.22222222222223,18
WFE/EPS,fbc,1,4000,5,50.0,55.55555555555556,18
WFE/EPS,fbc,2,4000,1,31.25,56.25,16
WFE/EPS,fbc,2,4000,2,31.25,56.25,16
WFE/EPS,fbc,2,4000,3,50.0,50.0,16
WFE/EPS,fbc,2,4000,4,50.0,75.0,16
WFE/EPS,fbc,2,4000,5,50.0,56.25,16
WFE/EPS,fbc,3,4000,1,50.0,56.25,16
WFE/EPS,fbc,3,4000,2,50.0,50.0,16
WFE/EPS,fbc,3,4000,3,68.75,56.25,16
WFE/EPS,fbc,3,4000,4,56.25,62.5,16
WFE/EPS,fbc,3,4000,5,43.75,75.0,16
WFE/EPS,fbc,4,4000,1,31.25,56.25,16
WFE/EPS,fbc,4,4000,2,56.25,62.5,16
WFE/EPS,fbc,4,4000,3,56.25,81.25,16
WFE/EPS,fbc,4,4000,4,50.0,81.25,16
WFE/EPS,fbc,4,4000,5,68.75,50.0,16
WFE/EPS,fbc,5,4000,1,62.5,62.5,16
WFE/EPS,fbc,5,4000,2,75.0,50.0,16
WFE/EPS,fbc,5,4000,3,56.25,50.0,16
WFE/EPS,fbc,5,4000,4,62.5,50.0,16
WFE/EPS,fbc,5,4000,5,43.75,81.25,16
WFE/EPS,fbc,6,4000,1,50.0,56.25,16
WFE/EPS,fbc,6,4000,2,43.75,62.5,16
WFE/EPS,fbc,6,4000,3,37.5,62.5,16
WFE/EPS,fbc,6,4000,4,68.75,50.0,16
WFE/EPS,fbc,6,4000,5,68.75,50.0,16
WFE/EPS,fbc,7,4000,1,62.5,50.0,16
WFE/EPS,fbc,7,4000,2,75.0,56.25,16
WFE/EPS,fbc,7,4000,3,68.75,56.25,16
WFE/EPS,fbc,7,4000,4,56.25,50.0,16
WFE/EPS,fbc,7,4000,5,43.75,68.75,16
WFE/EPS,fbc,8,4000,1,50.0,50.0,16
WFE/EPS,fbc,8,4000,2,56.25,56.25,16
WFE/EPS,fbc,8,4000,3,56.25,50.0,16
WFE/EPS,fbc,8,4000,4,37.5,56.25,16
WFE/EPS,fbc,8,4000,5,56.25,56.25,16
WFE/EPS,fbc,9,4000,1,56.25,56.25,16
WFE/EPS,fbc,9,4000,2,50.0,62.5,16
WFE/EPS,fbc,9,4000,3,56.25,56.25,16
WFE/EPS,fbc,9,4000,4,87.5,56.25,16
WFE/EPS,fbc,9,4000,5,43.75,62.5,16
WFE/EPS,fbc,10,4000,1,50.0,62.5,16
WFE/EPS,fbc,10,4000,2,68.75,56.25,16
WFE/EPS,fbc,10,4000,3,62.5,50.0,16
WFE/EPS,fbc,10,4000,4,43.75,50.0,16
WFE/EPS,fbc,10,4000,5,37.5,56.25,16
WFE/EPS,fbc,11,4000,1,50.0,50.0,16
WFE/EPS,fbc,11,4000,2,43.75,50.0,16
WFE/EPS,fbc,11,4000,3,43.75,56.25,16
WFE/EPS,fbc,11,4000,4,50.0,56.25,16
WFE/EPS,fbc,11,4000,5,56.25,56.25,16
WFE/EPS,fbc,12,4000,1,37.5,56.25,16
WFE/EPS,fbc,12,4000,2,50.0,56.25,16
WFE/EPS,fbc,12,4000,3,43.75,62.5,16
WFE/EPS,fbc,12,4000,4,68.75,56.25,16
WFE/EPS,fbc,12,4000,5,56.25,50.0,16
WFE/EPS,fbc,13,4000,1,68.75,50.0,16
WFE/EPS,fbc,13,4000,2,56.25,75.0,16
WFE/EPS,fbc,13,4000,3,56.25,62.5,16
WFE/EPS,fbc,13,4000,4,43.75,62.5,16
WFE/EPS,fbc,13,4000,5,56.25,68.75,16
WFE/EPS,fbc,14,4000,1,37.5,62.5,16
WFE/EPS,fbc,14,4000,2,50.0,50.0,16
WFE/EPS,fbc,14,4000,3,56.25,56.25,16
WFE/EPS,fbc,14,4000,4,56.25,68.75,16
WFE/EPS,fbc,14,4000,5,50.0,50.0,16
WFE/EPS,fbc,15,4000,1,62.5,68.75,16
WFE/EPS,fbc,15,4000,2,56.25,62.5,16
WFE/EPS,fbc,15,4000,3,50.0,75.0,16
WFE/EPS,fbc,15,4000,4,37.5,68.75,16
WFE/EPS,fbc,15,4000,5,68.75,62.5,16
WFE/EPS,fbc,16,4000,1,50.0,56.25,16
WFE/EPS,fbc,16,4000,2,68.75,56.25,16
WFE/EPS,fbc,16,4000,3,62.5,68.75,16
WFE/EPS,fbc,16,4000,4,62.5,56.25,16
WFE/EPS,fbc,16,4000,5,43.75,68.75,16
WFE/EPS,fbc,17,4000,1,31.25,50.0,16
WFE/EPS,fbc,17,4000,2,50.0,56.25,16
WFE/EPS,fbc,17,4000,3,50.0,56.25,16
WFE/EPS,fbc,17,4000,4,62.5,56.25,16
WFE/EPS,fbc,17,4000,5,43.75,68.75,16
WFE/EPS,fbc,18,4000,1,50.0,68.75,16
WFE/EPS,fbc,18,4000,2,62.5,81.25,16
WFE/EPS,fbc,18,4000,3,50.0,75.0,16
WFE/EPS,fbc,18,4000,4,62.5,62.5,16
WFE/EPS,fbc,18,4000,5,43.75,62.5,16
