pair,mode,subject,window_ms,accuracy,n_test
WFE/SPS,fbc,1,4000,58.88888888888889,90
WFE/SPS,fbc,2,4000,50.0,80
WFE/SPS,fbc,3,4000,70.0,80
WFE/SPS,fbc,4,4000,73.75,80
WFE/SPS,fbc,5,4000,62.5,80
WFE/SPS,fbc,6,4000,53.75,80
WFE/SPS,fbc,7,4000,72.5,80
WFE/SPS,fbc,8,4000,50.0,80
WFE/SPS,fbc,9,4000,56.25,80
WFE/SPS,fbc,10,4000,58.75,80
WFE/SPS,fbc,11,4000,61.25000000000001,80
WFE/SPS,fbc,12,4000,71.25,80
WFE/SPS,fbc,13,4000,66.25,80
WFE/SPS,fbc,14,4000,52.5,80
WFE/SPS,fbc,15,4000,47.5,80
WFE/SPS,fbc,16,4000,46.25,80
WFE/SPS,fbc,17,4000,61.25000000000001,80
WFE/SPS,fbc,18,4000,66.25,80
