pair,mode,subject,window_ms,accuracy,n_test
EFE/SFE,raw,1,4000,48.888888888888886,90
EFE/SFE,raw,2,4000,51.24999999999999,80
EFE/SFE,raw,3,4000,80.0,80
EFE/SFE,raw,4,4000,51.24999999999999,80
EFE/SFE,raw,5,4000,50.617283950617285,81
EFE/SFE,raw,6,4000,52.5,80
EFE/SFE,raw,7,4000,58.75,80
EFE/SFE,raw,8,4000,46.25,80
EFE/SFE,raw,9,4000,61.25000000000001,80
EFE/SFE,raw,10,4000,48.75,80
EFE/SFE,raw,11,4000,50.0,80
EFE/SFE,raw,12,4000,42.5,80
EFE/SFE,raw,13,4000,61.25000000000001,80
EFE/SFE,raw,14,4000,52.5,80
EFE/SFE,raw,15,4000,42.5,80
EFE/SFE,raw,16,4000,56.25,80
EFE/SFE,raw,17,4000,41.25,80
EFE/SFE,raw,18,4000,76.25,80
