pair,mode,subject,window_ms,accuracy,n_test
EPS/SAA,raw,1,4000,58.88888888888889,90
EPS/SAA,raw,2,4000,66.25,80
EPS/SAA,raw,3,4000,81.25,80
EPS/SAA,raw,4,4000,71.25,80
EPS/SAA,raw,5,4000,46.25,80
EPS/SAA,raw,6,4000,66.25,80
EPS/SAA,raw,7,4000,78.75,80
EPS/SAA,raw,8,4000,40.0,80
EPS/SAA,raw,9,4000,61.25000000000001,80
EPS/SAA,raw,10,4000,45.0,80
EPS/SAA,raw,11,4000,62.5,80
EPS/SAA,raw,12,4000,58.75,80
EPS/SAA,raw,13,4000,55.00000000000001,80
EPS/SAA,raw,14,4000,50.0,80
EPS/SAA,raw,15,4000,43.75,80
EPS/SAA,raw,16,4000,63.74999999999999,80
EPS/SAA,raw,17,4000,58.75,80
EPS/SAA,raw,18,4000,80.0,80
