pair,mode,subject,window_ms,accuracy,n_test
HOC/EPS,raw,1,4000,55.55555555555556,90
HOC/EPS,raw,2,4000,47.5,80
HOC/EPS,raw,3,4000,62.5,80
HOC/EPS,raw,4,4000,77.5,80
HOC/EPS,raw,5,4000,48.75,80
HOC/EPS,raw,6,4000,55.00000000000001,80
HOC/EPS,raw,7,4000,71.25,80
HOC/EPS,raw,8,4000,47.5,80
HOC/EPS,raw,9,4000,46.25,80
HOC/EPS,raw,10,4000,65.0,80
HOC/EPS,raw,11,4000,52.5,80
HOC/EPS,raw,12,4000,55.00000000000001,80
HOC/EPS,raw,13,4000,46.25,80
HOC/EPS,raw,14,4000,51.24999999999999,80
HOC/EPS,raw,15,4000,62.5,80
HOC/EPS,raw,16,4000,68.75,80
HOC/EPS,raw,17,4000,57.49999999999999,80
HOC/EPS,raw,18,4000,57.49999999999999,80
