pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/WAA,raw,1,4000,1,61.111111111111114,66.66666666666667,18
HOC/WAA,raw,1,4000,2,55.55555555555556,72.22222222222223,18
HOC/WAA,raw,1,4000,3,50.0,61.111111111111114,18
HOC/WAA,raw,1,4000,4,50.0,61.111111111111114,18
HOC/WAA,raw,1,4000,5,55.55555555555556,72.22222222222223,18
HOC/WAA,raw,2,4000,1,75.0,62.5,16
HOC/WAA,raw,2,4000,2,68.75,62.5,16
HOC/WAA,raw,2,4000,3,56.25,62.5,16
HOC/WAA,raw,2,4000,4,56.25,68.75,16
HOC/WAA,raw,2,4000,5,56.25,87.5,16
HOC/WAA,raw,3,4000,1,68.75,75.0,16
HOC/WAA,raw,3,4000,2,56.25,75.0,16
HOC/WAA,raw,3,4000,3,50.0,56.25,16
HOC/WAA,raw,3,4000,4,50.0,81.25,16
HOC/WAA,raw,3,4000,5,62.5,68.75,16
HOC/WAA,raw,4,4000,1,56.25,81.25,16
HOC/WAA,raw,4,4000,2,62.5,50.0,16
HOC/WAA,raw,4,4000,3,56.25,62.5,16
HOC/WAA,raw,4,4000,4,62.5,56.25,16
HOC/WAA,raw,4,4000,5,43.75,56.25,16
HOC/WAA,raw,5,4000,1,50.0,56.25,16
HOC/WAA,raw,5,4000,2,75.0,56.25,16
HOC/WAA,raw,5,4000,3,62.5,50.0,16
HOC/WAA,raw,5,4000,4,50.0,62.5,16
HOC/WAA,raw,5,4000,5,31.25,68.75,16
HOC/WAA,raw,6,4000,1,75.0,62.5,16
HOC/WAA,raw,6,4000,2,68.75,62.5,16
HOC/WAA,raw,6,4000,3,43.75,62.5,16
HOC/WAA,raw,6,4000,4,62.5,62.5,16
HOC/WAA,raw,6,4000,5,68.75,56.25,16
HOC/WAA,raw,7,4000,1,62.5,75.0,16
HOC/WAA,raw,7,4000,2,56.25,56.25,16
HOC/WAA,raw,7,4000,3,75.0,62.5,16
HOC/WAA,raw,7,4000,4,50.0,68.75,16
HOC/WAA,raw,7,4000,5,62.5,75.0,16
HOC/WAA,raw,8,4000,1,50.0,68.75,16
HOC/WAA,raw,8,4000,2,56.25,56.25,16
HOC/WAA,raw,8,4000,3,56.25,62.5,16
HOC/WAA,raw,8,4000,4,43.75,62.5,16
HOC/WAA,raw,8,4000,5,50.0,56.25,16
HOC/WAA,raw,9,4000,1,62.5,75.0,16
HOC/WAA,raw,9,4000,2,50.0,62.5,16
HOC/WAA,raw,9,4000,3,50.0,87.5,16
HOC/WAA,raw,9,4000,4,75.0,75.0,16
HOC/WAA,raw,9,4000,5,37.5,68.75,16
HOC/WAA,raw,10,4000,1,75.0,75.0,16
HOC/WAA,raw,10,4000,2,56.25,68.75,16
HOC/WAA,raw,10,4000,3,62.5,68.75,16
HOC/WAA,raw,10,4000,4,62.5,62.5,16
HOC/WAA,raw,10,4000,5,56.25,75.0,16
HOC/WAA,raw,11,4000,1,62.5,62.5,16
HOC/WAA,raw,11,4000,2,62.5,81.25,16
HOC/WAA,raw,11,4000,3,56.25,62.5,16
HOC/WAA,raw,11,4000,4,62.5,62.5,16
HOC/WAA,raw,11,4000,5,56.25,68.75,16
HOC/WAA,raw,12,4000,1,50.0,56.25,16
HOC/WAA,raw,12,4000,2,62.5,56.25,16
HOC/WAA,raw,12,4000,3,43.75,56.25,16
HOC/WAA,raw,12,4000,4,68.75,56.25,16
HOC/WAA,raw,12,4000,5,56.25,68.75,16
HOC/WAA,raw,13,4000,1,62.5,75.0,16
HOC/WAA,raw,13,4000,2,50.0,56.25,16
HOC/WAA,raw,13,4000,3,62.5,68.75,16
HOC/WAA,raw,13,4000,4,56.25,62.5,16
HOC/WAA,raw,13,4000,5,56.25,62.5,16
HOC/WAA,raw,14,4000,1,62.5,50.0,16
HOC/WAA,raw,14,4000,2,75.0,68.75,16
HOC/WAA,raw,14,4000,3,50.0,68.75,16
HOC/WAA,raw,14,4000,4,62.5,50.0,16
HOC/WAA,raw,14,4000,5,50.0,68.75,16
HOC/WAA,raw,15,4000,1,37.5,68.75,16
HOC/WAA,raw,15,4000,2,50.0,81.25,16
HOC/WAA,raw,15,4000,3,68.75,68.75,16
HOC/WAA,raw,15,4000,4,62.5,75.0,16
HOC/WAA,raw,15,4000,5,62.5,81.25,16
HOC/WAA,raw,16,4000,1,81.25,75.0,16
HOC/WAA,raw,16,4000,2,50.0,81.25,16
HOC/WAA,raw,16,4000,3,75.0,75.0,16
HOC/WAA,raw,16,4000,4,75.0,81.25,16
HOC/WAA,raw,16,4000,5,56.25,81.25,16
HOC/WAA,raw,17,4000,1,75.0,56.25,16
HOC/WAA,raw,17,4000,2,56.25,50.0,16
HOC/WAA,raw,17,4000,3,56.25,56.25,16
HOC/WAA,raw,17,4000,4,43.75,68.75,16
HOC/WAA,raw,17,4000,5,62.5,56.25,16
HOC/WAA,raw,18,4000,1,68.75,81.25,16
HOC/WAA,raw,18,4000,2,62.5,68.75,16
HOC/WAA,raw,18,4000,3,68.75,75.0,16
HOC/WAA,raw,18,4000,4,56.25,75.0,16
HOC/WAA,raw,18,4000,5,56.25,87.5,16
