pair,model,subject,window_ms,accuracy,n_test
WAA/SAA,fine_gru,1,800,66.66666666666666,90
WAA/SAA,fine_gru,1,1500,64.44444444444444,90
WAA/SAA,fine_gru,1,3000,68.88888888888889,90
WAA/SAA,fine_gru,1,4000,62.22222222222222,90
WAA/SAA,fine_gru,2,800,76.25,80
WAA/SAA,fine_gru,2,1500,73.75,80
WAA/SAA,fine_gru,2,3000,68.75,80
WAA/SAA,fine_gru,2,4000,63.74999999999999,80
WAA/SAA,fine_gru,3,800,58.75,80
WAA/SAA,fine_gru,3,1500,82.5,80
WAA/SAA,fine_gru,3,3000,72.5,80
WAA/SAA,fine_gru,3,4000,75.0,80
WAA/SAA,fine_gru,4,800,82.5,80
WAA/SAA,fine_gru,4,1500,86.25,80
WAA/SAA,fine_gru,4,3000,82.5,80
WAA/SAA,fine_gru,4,4000,82.5,80
WAA/SAA,fine_gru,5,800,78.75,80
WAA/SAA,fine_gru,5,1500,83.75,80
WAA/SAA,fine_gru,5,3000,78.75,80
WAA/SAA,fine_gru,5,4000,80.0,80
WAA/SAA,fine_gru,6,800,71.25,80
WAA/SAA,fine_gru,6,1500,70.0,80
WAA/SAA,fine_gru,6,3000,63.74999999999999,80
WAA/SAA,fine_gru,6,4000,77.5,80
WAA/SAA,fine_gru,7,800,72.5,80
WAA/SAA,fine_gru,7,1500,92.5,80
WAA/SAA,fine_gru,7,3000,91.25,80
WAA/SAA,fine_gru,7,4000,87.5,80
WAA/SAA,fine_gru,8,800,40.0,80
WAA/SAA,fine_gru,8,1500,62.5,80
WAA/SAA,fine_gru,8,3000,56.25,80
WAA/SAA,fine_gru,8,4000,57.49999999999999,80
WAA/SAA,fine_gru,9,800,55.00000000000001,80
WAA/SAA,fine_gru,9,1500,61.25000000000001,80
WAA/SAA,fine_gru,9,3000,60.0,80
WAA/SAA,fine_gru,9,4000,55.00000000000001,80
WAA/SAA,fine_gru,10,800,71.25,80
WAA/SAA,fine_gru,10,1500,63.74999999999999,80
