pair,subject,window_ms,accuracy,n_test
HOC/WFE,1,800,54.44444444444444,90
HOC/WFE,1,1500,50.0,90
HOC/WFE,1,3000,50.0,90
HOC/WFE,1,4000,47.77777777777778,90
HOC/WFE,2,800,62.5,80
HOC/WFE,2,1500,60.0,80
HOC/WFE,2,3000,52.5,80
HOC/WFE,2,4000,56.25,80
HOC/WFE,3,800,71.25,80
HOC/WFE,3,1500,70.0,80
HOC/WFE,3,3000,56.25,80
HOC/WFE,3,4000,66.25,80
HOC/WFE,4,800,60.0,80
HOC/WFE,4,1500,67.5,80
HOC/WFE,4,3000,66.25,80
HOC/WFE,4,4000,68.75,80
HOC/WFE,5,800,68.75,80
HOC/WFE,5,1500,62.5,80
HOC/WFE,5,3000,70.0,80
HOC/WFE,5,4000,65.0,80
HOC/WFE,6,800,65.0,80
HOC/WFE,6,1500,70.0,80
HOC/WFE,6,3000,58.75,80
HOC/WFE,6,4000,57.49999999999999,80
HOC/WFE,7,800,58.75,80
HOC/WFE,7,1500,51.24999999999999,80
HOC/WFE,7,3000,55.00000000000001,80
HOC/WFE,7,4000,58.75,80
HOC/WFE,8,800,55.00000000000001,80
HOC/WFE,8,1500,51.24999999999999,80
HOC/WFE,8,3000,46.25,80
HOC/WFE,8,4000,45.0,80
HOC/WFE,9,800,55.00000000000001,80
HOC/WFE,9,1500,51.24999999999999,80
HOC/WFE,9,3000,60.0,80
HOC/WFE,9,4000,52.5,80
HOC/WFE,10,800,68.75,80
HOC/WFE,10,1500,55.00000000000001,80
HOC/WFE,10,3000,47.5,80
HOC/WFE,10,4000,52.5,80
HOC/WFE,11,800,58.75,80
HOC/WFE,11,1500,60.0,80
HOC/WFE,11,3000,65.0,80
HOC/WFE,11,4000,62.5,80
HOC/WFE,12,800,61.25000000000001,80
HOC/WFE,12,1500,63.74999999999999,80
HOC/WFE,12,3000,60.0,80
HOC/WFE,12,4000,62.5,80
HOC/WFE,13,800,60.0,80
HOC/WFE,13,1500,71.25,80
HOC/WFE,13,3000,65.0,80
HOC/WFE,13,4000,75.0,80
HOC/WFE,14,800,58.75,80
HOC/WFE,14,1500,56.25,80
HOC/WFE,14,3000,53.75,80
HOC/WFE,14,4000,50.0,80
HOC/WFE,15,800,82.5,80
HOC/WFE,15,1500,83.75,80
HOC/WFE,15,3000,78.75,80
HOC/WFE,15,4000,88.75,80
HOC/WFE,16,800,68.75,80
HOC/WFE,16,1500,66.25,80
HOC/WFE,16,3000,63.74999999999999,80
HOC/WFE,16,4000,65.0,80
HOC/WFE,17,800,58.75,80
HOC/WFE,17,1500,56.25,80
HOC/WFE,17,3000,51.24999999999999,80
HOC/WFE,17,4000,50.0,80
HOC/WFE,18,800,63.74999999999999,80
HOC/WFE,18,1500,72.5,80
HOC/WFE,18,3000,67.5,80
HOC/WFE,18,4000,61.25000000000001,80
