scope,pair,contrast,window,n_subjects,mean_slim,mean_ref,diff,ci_lo,ci_hi,p_ttest,n_slim_better,n_ref_better,p_holm
pair,WAA_SAA,Slim - Conformer A,800,18,65.054012,64.189815,0.864198,-2.090283,3.818678,0.545327,8,6,1.0
pair,WAA_SAA,Slim - Conformer A,1500,18,70.825617,71.936728,-1.111111,-4.018047,1.795825,0.431133,6,10,1.0
pair,WAA_SAA,Slim - Conformer A,3000,18,68.611111,72.700617,-4.089506,-7.414331,-0.764681,0.018872,5,13,0.377441
pair,WAA_SAA,Slim - Conformer A,4000,18,67.762346,72.947531,-5.185185,-8.68226,-1.688111,0.006122,4,14,0.159172
pair,WAA_SAA,Slim - Conformer A,avg,18,68.063272,70.443673,-2.380401,-4.257944,-0.502859,0.015991,6,11,0.340839
pair,WAA_SAA,Slim - Conformer B,800,18,65.054012,67.57716,-2.523148,-5.477885,0.431588,0.089364,4,14,1.0
pair,WAA_SAA,Slim - Conformer B,1500,18,70.825617,71.612654,-0.787037,-4.03914,2.465066,0.616202,8,10,1.0
pair,WAA_SAA,Slim - Conformer B,3000,18,68.611111,69.976852,-1.365741,-4.20482,1.473339,0.324368,9,9,1.0
pair,WAA_SAA,Slim - Conformer B,4000,18,67.762346,70.339506,-2.57716,-5.307817,0.153496,0.062777,5,12,1.0
pair,WAA_SAA,Slim - Conformer B,avg,18,68.063272,69.876543,-1.813272,-3.215415,-0.411128,0.014299,4,13,0.328882
pair,HOC_WFE,Slim - Conformer A,800,18,59.12037,60.95679,-1.83642,-5.227043,1.554204,0.268997,8,10,1.0
pair,HOC_WFE,Slim - Conformer A,1500,18,60.216049,60.779321,-0.563272,-4.751959,3.625416,0.780054,7,8,1.0
pair,HOC_WFE,Slim - Conformer A,3000,18,57.939815,61.50463,-3.564815,-7.910118,0.780488,0.101585,5,13,1.0
pair,HOC_WFE,Slim - Conformer A,4000,18,56.844136,61.17284,-4.328704,-9.432979,0.775571,0.091408,3,13,1.0
pair,HOC_WFE,Slim - Conformer A,avg,18,58.530093,61.103395,-2.573302,-5.139208,-0.007397,0.049414,6,11,0.889444
pair,HOC_WFE,Slim - Conformer B,800,18,59.12037,61.820988,-2.700617,-4.635854,-0.765381,0.00907,4,14,0.226744
pair,HOC_WFE,Slim - Conformer B,1500,18,60.216049,62.731481,-2.515432,-5.879245,0.848381,0.13306,7,10,1.0
pair,HOC_WFE,Slim - Conformer B,3000,18,57.939815,57.152778,0.787037,-2.307488,3.881562,0.598501,8,6,1.0
pair,HOC_WFE,Slim - Conformer B,4000,18,56.844136,58.973765,-2.12963,-5.523847,1.264587,0.203109,5,12,1.0
pair,HOC_WFE,Slim - Conformer B,avg,18,58.530093,60.169753,-1.63966,-3.349592,0.070271,0.059079,7,11,1.0
pair,EPS_SPS,Slim - Conformer A,800,18,62.87037,64.112654,-1.242284,-4.039465,1.554897,0.361875,5,10,1.0
pair,EPS_SPS,Slim - Conformer A,1500,18,67.978395,70.185185,-2.20679,-4.365693,-0.047887,0.045647,3,14,0.867292
pair,EPS_SPS,Slim - Conformer A,3000,18,65.941358,72.314815,-6.373457,-11.105597,-1.641317,0.011273,5,13,0.270542
pair,EPS_SPS,Slim - Conformer A,4000,18,63.101852,69.992284,-6.890432,-10.084213,-3.696651,0.000283,0,16,0.008197
pair,EPS_SPS,Slim - Conformer A,avg,18,64.972994,69.151235,-4.178241,-6.180691,-2.175791,0.000389,2,16,0.0109
pair,EPS_SPS,Slim - Conformer B,800,18,62.87037,66.087963,-3.217593,-5.741141,-0.694044,0.015493,4,12,0.340839
pair,EPS_SPS,Slim - Conformer B,1500,18,67.978395,69.305556,-1.32716,-4.165743,1.511422,0.337754,7,8,1.0
pair,EPS_SPS,Slim - Conformer B,3000,18,65.941358,68.341049,-2.399691,-5.975071,1.175689,0.174823,6,11,1.0
pair,EPS_SPS,Slim - Conformer B,4000,18,63.101852,67.79321,-4.691358,-6.823406,-2.559311,0.000233,0,16,0.006991
pair,EPS_SPS,Slim - Conformer B,avg,18,64.972994,67.881944,-2.908951,-4.667864,-1.150037,0.002809,2,16,0.07583
pooled,ALL(3),Slim - Conformer A,800,18,62.348251,63.08642,-0.738169,-2.164466,0.688129,0.290103,9,9,0.580206
pooled,ALL(3),Slim - Conformer A,1500,18,66.340021,67.633745,-1.293724,-3.147487,0.560039,0.15918,3,14,0.477539
pooled,ALL(3),Slim - Conformer A,3000,18,64.164095,68.840021,-4.675926,-7.244851,-2.107001,0.001311,3,15,0.007867
pooled,ALL(3),Slim - Conformer A,4000,18,62.569444,68.037551,-5.468107,-7.99496,-2.941254,0.000274,2,16,0.001921
pooled,ALL(3),Slim - Conformer A,avg,18,63.855453,66.899434,-3.043981,-4.155775,-1.932188,2.2e-05,2,15,0.000223
pooled,ALL(3),Slim - Conformer B,800,18,62.348251,65.162037,-2.813786,-3.956068,-1.671504,7.3e-05,3,15,0.000654
pooled,ALL(3),Slim - Conformer B,1500,18,66.340021,67.88323,-1.54321,-3.281791,0.195371,0.078408,3,14,0.313633
pooled,ALL(3),Slim - Conformer B,3000,18,64.164095,65.156893,-0.992798,-3.139292,1.153696,0.342829,6,10,0.580206
pooled,ALL(3),Slim - Conformer B,4000,18,62.569444,65.70216,-3.132716,-4.864559,-1.400873,0.001381,3,13,0.007867
pooled,ALL(3),Slim - Conformer B,avg,18,63.855453,65.97608,-2.120628,-3.019612,-1.221643,0.000115,2,16,0.00092
