pair,subject,window_ms,accuracy,n_test
EFE/SFE,1,800,43.333333333333336,90
EFE/SFE,1,1500,55.55555555555556,90
EFE/SFE,1,3000,66.66666666666666,90
EFE/SFE,1,4000,62.22222222222222,90
EFE/SFE,2,800,62.5,80
EFE/SFE,2,1500,65.0,80
EFE/SFE,2,3000,68.75,80
EFE/SFE,2,4000,66.25,80
EFE/SFE,3,800,86.25,80
EFE/SFE,3,1500,86.25,80
EFE/SFE,3,3000,92.5,80
EFE/SFE,3,4000,80.0,80
EFE/SFE,4,800,78.75,80
EFE/SFE,4,1500,86.25,80
EFE/SFE,4,3000,83.75,80
EFE/SFE,4,4000,80.0,80
EFE/SFE,5,800,67.90123456790124,81
EFE/SFE,5,1500,80.24691358024691,81
EFE/SFE,5,3000,76.5432098765432,81
EFE/SFE,5,4000,80.24691358024691,81
EFE/SFE,6,800,51.24999999999999,80
EFE/SFE,6,1500,62.5,80
EFE/SFE,6,3000,62.5,80
EFE/SFE,6,4000,72.5,80
EFE/SFE,7,800,70.0,80
EFE/SFE,7,1500,75.0,80
EFE/SFE,7,3000,76.25,80
EFE/SFE,7,4000,83.75,80
EFE/SFE,8,800,50.0,80
EFE/SFE,8,1500,53.75,80
EFE/SFE,8,3000,50.0,80
EFE/SFE,8,4000,53.75,80
EFE/SFE,9,800,48.75,80
EFE/SFE,9,1500,51.24999999999999,80
EFE/SFE,9,3000,56.25,80
EFE/SFE,9,4000,57.49999999999999,80
EFE/SFE,10,800,73.75,80
EFE/SFE,10,1500,63.74999999999999,80
EFE/SFE,10,3000,67.5,80
EFE/SFE,10,4000,61.25000000000001,80
EFE/SFE,11,800,57.49999999999999,80
EFE/SFE,11,1500,56.25,80
EFE/SFE,11,3000,57.49999999999999,80
EFE/SFE,11,4000,67.5,80
EFE/SFE,12,800,52.5,80
EFE/SFE,12,1500,56.25,80
EFE/SFE,12,3000,60.0,80
EFE/SFE,12,4000,65.0,80
EFE/SFE,13,800,58.75,80
EFE/SFE,13,1500,70.0,80
EFE/SFE,13,3000,60.0,80
EFE/SFE,13,4000,61.25000000000001,80
EFE/SFE,14,800,47.5,80
EFE/SFE,14,1500,65.0,80
EFE/SFE,14,3000,60.0,80
EFE/SFE,14,4000,57.49999999999999,80
EFE/SFE,15,800,56.25,80
EFE/SFE,15,1500,57.49999999999999,80
EFE/SFE,15,3000,48.75,80
EFE/SFE,15,4000,55.00000000000001,80
EFE/SFE,16,800,50.0,80
EFE/SFE,16,1500,55.00000000000001,80
EFE/SFE,16,3000,56.25,80
EFE/SFE,16,4000,51.24999999999999,80
EFE/SFE,17,800,60.0,80
EFE/SFE,17,1500,62.5,80
EFE/SFE,17,3000,63.74999999999999,80
EFE/SFE,17,4000,62.5,80
EFE/SFE,18,800,83.75,80
EFE/SFE,18,1500,82.5,80
EFE/SFE,18,3000,91.25,80
EFE/SFE,18,4000,88.75,80
