pair,subject,window_ms,accuracy,n_test
SPS/SFE,1,800,36.666666666666664,90
SPS/SFE,1,1500,47.77777777777778,90
SPS/SFE,1,3000,52.22222222222223,90
SPS/SFE,1,4000,54.44444444444444,90
SPS/SFE,2,800,58.75,80
SPS/SFE,2,1500,61.25000000000001,80
SPS/SFE,2,3000,70.0,80
SPS/SFE,2,4000,62.5,80
SPS/SFE,3,800,85.0,80
SPS/SFE,3,1500,83.75,80
SPS/SFE,3,3000,80.0,80
SPS/SFE,3,4000,82.5,80
SPS/SFE,4,800,77.5,80
SPS/SFE,4,1500,85.0,80
SPS/SFE,4,3000,88.75,80
SPS/SFE,4,4000,87.5,80
SPS/SFE,5,800,74.07407407407408,81
SPS/SFE,5,1500,75.30864197530865,81
SPS/SFE,5,3000,76.5432098765432,81
SPS/SFE,5,4000,71.60493827160494,81
SPS/SFE,6,800,53.75,80
SPS/SFE,6,1500,56.25,80
SPS/SFE,6,3000,51.24999999999999,80
SPS/SFE,6,4000,58.75,80
SPS/SFE,7,800,71.25,80
SPS/SFE,7,1500,66.25,80
SPS/SFE,7,3000,73.75,80
SPS/SFE,7,4000,71.25,80
SPS/SFE,8,800,55.00000000000001,80
SPS/SFE,8,1500,56.25,80
SPS/SFE,8,3000,48.75,80
SPS/SFE,8,4000,57.49999999999999,80
SPS/SFE,9,800,50.0,80
SPS/SFE,9,1500,48.75,80
SPS/SFE,9,3000,61.25000000000001,80
SPS/SFE,9,4000,53.75,80
SPS/SFE,10,800,66.25,80
SPS/SFE,10,1500,76.25,80
SPS/SFE,10,3000,86.25,80
SPS/SFE,10,4000,82.5,80
SPS/SFE,11,800,62.5,80
SPS/SFE,11,1500,50.0,80
SPS/SFE,11,3000,78.75,80
SPS/SFE,11,4000,73.75,80
SPS/SFE,12,800,67.5,80
SPS/SFE,12,1500,55.00000000000001,80
SPS/SFE,12,3000,65.0,80
SPS/SFE,12,4000,66.25,80
SPS/SFE,13,800,62.5,80
SPS/SFE,13,1500,57.49999999999999,80
SPS/SFE,13,3000,56.25,80
SPS/SFE,13,4000,58.75,80
SPS/SFE,14,800,60.0,80
SPS/SFE,14,1500,61.25000000000001,80
SPS/SFE,14,3000,65.0,80
SPS/SFE,14,4000,72.5,80
SPS/SFE,15,800,67.5,80
SPS/SFE,15,1500,66.25,80
SPS/SFE,15,3000,58.75,80
SPS/SFE,15,4000,60.0,80
SPS/SFE,16,800,46.25,80
SPS/SFE,16,1500,58.75,80
SPS/SFE,16,3000,50.0,80
SPS/SFE,16,4000,43.75,80
SPS/SFE,17,800,61.25000000000001,80
SPS/SFE,17,1500,57.49999999999999,80
SPS/SFE,17,3000,50.0,80
SPS/SFE,17,4000,53.75,80
SPS/SFE,18,800,85.0,80
SPS/SFE,18,1500,83.75,80
SPS/SFE,18,3000,75.0,80
SPS/SFE,18,4000,76.25,80
