pair,subject,window_ms,accuracy,n_test
WAA/SAA,1,800,52.22222222222223,90
WAA/SAA,1,1500,61.111111111111114,90
WAA/SAA,1,3000,60.0,90
WAA/SAA,1,4000,52.22222222222223,90
WAA/SAA,2,800,62.5,80
WAA/SAA,2,1500,72.5,80
WAA/SAA,2,3000,67.5,80
WAA/SAA,2,4000,65.0,80
WAA/SAA,3,800,61.25000000000001,80
WAA/SAA,3,1500,78.75,80
WAA/SAA,3,3000,67.5,80
WAA/SAA,3,4000,73.75,80
WAA/SAA,4,800,82.5,80
WAA/SAA,4,1500,95.0,80
WAA/SAA,4,3000,82.5,80
WAA/SAA,4,4000,82.5,80
WAA/SAA,5,800,76.25,80
WAA/SAA,5,1500,78.75,80
WAA/SAA,5,3000,76.25,80
WAA/SAA,5,4000,75.0,80
WAA/SAA,6,800,76.25,80
WAA/SAA,6,1500,71.25,80
WAA/SAA,6,3000,65.0,80
WAA/SAA,6,4000,68.75,80
WAA/SAA,7,800,72.5,80
WAA/SAA,7,1500,88.75,80
WAA/SAA,7,3000,91.25,80
WAA/SAA,7,4000,88.75,80
WAA/SAA,8,800,52.5,80
WAA/SAA,8,1500,60.0,80
WAA/SAA,8,3000,61.25000000000001,80
WAA/SAA,8,4000,61.25000000000001,80
WAA/SAA,9,800,60.0,80
WAA/SAA,9,1500,65.0,80
WAA/SAA,9,3000,62.5,80
WAA/SAA,9,4000,52.5,80
WAA/SAA,10,800,71.25,80
WAA/SAA,10,1500,50.0,80
WAA/SAA,10,3000,50.0,80
WAA/SAA,10,4000,55.00000000000001,80
WAA/SAA,11,800,61.25000000000001,80
WAA/SAA,11,1500,77.5,80
WAA/SAA,11,3000,80.0,80
WAA/SAA,11,4000,71.25,80
WAA/SAA,12,800,70.0,80
WAA/SAA,12,1500,66.25,80
WAA/SAA,12,3000,67.5,80
WAA/SAA,12,4000,72.5,80
WAA/SAA,13,800,56.25,80
WAA/SAA,13,1500,70.0,80
WAA/SAA,13,3000,73.75,80
WAA/SAA,13,4000,75.0,80
WAA/SAA,14,800,62.5,80
WAA/SAA,14,1500,66.25,80
WAA/SAA,14,3000,72.5,80
WAA/SAA,14,4000,57.49999999999999,80
WAA/SAA,15,800,65.0,80
WAA/SAA,15,1500,68.75,80
WAA/SAA,15,3000,70.0,80
WAA/SAA,15,4000,71.25,80
WAA/SAA,16,800,47.5,80
WAA/SAA,16,1500,46.25,80
WAA/SAA,16,3000,46.25,80
WAA/SAA,16,4000,51.24999999999999,80
WAA/SAA,17,800,58.75,80
WAA/SAA,17,1500,71.25,80
WAA/SAA,17,3000,60.0,80
WAA/SAA,17,4000,65.0,80
WAA/SAA,18,800,82.5,80
WAA/SAA,18,1500,87.5,80
WAA/SAA,18,3000,81.25,80
WAA/SAA,18,4000,81.25,80
