pair,subject,window_ms,accuracy,n_test
WFE/SFE,1,800,45.55555555555556,90
WFE/SFE,1,1500,71.11111111111111,90
WFE/SFE,1,3000,71.11111111111111,90
WFE/SFE,1,4000,55.55555555555556,90
WFE/SFE,2,800,63.74999999999999,80
WFE/SFE,2,1500,50.0,80
WFE/SFE,2,3000,63.74999999999999,80
WFE/SFE,2,4000,56.25,80
WFE/SFE,3,800,60.0,80
WFE/SFE,3,1500,82.5,80
WFE/SFE,3,3000,70.0,80
WFE/SFE,3,4000,76.25,80
WFE/SFE,4,800,60.0,80
WFE/SFE,4,1500,67.5,80
WFE/SFE,4,3000,75.0,80
WFE/SFE,4,4000,66.25,80
WFE/SFE,5,800,61.72839506172839,81
WFE/SFE,5,1500,65.4320987654321,81
WFE/SFE,5,3000,74.07407407407408,81
WFE/SFE,5,4000,62.96296296296296,81
WFE/SFE,6,800,52.5,80
WFE/SFE,6,1500,61.25000000000001,80
WFE/SFE,6,3000,62.5,80
WFE/SFE,6,4000,68.75,80
WFE/SFE,7,800,70.0,80
WFE/SFE,7,1500,77.5,80
WFE/SFE,7,3000,77.5,80
WFE/SFE,7,4000,77.5,80
WFE/SFE,8,800,53.75,80
WFE/SFE,8,1500,48.75,80
WFE/SFE,8,3000,50.0,80
WFE/SFE,8,4000,53.75,80
WFE/SFE,9,800,53.75,80
WFE/SFE,9,1500,36.25,80
WFE/SFE,9,3000,56.25,80
WFE/SFE,9,4000,57.49999999999999,80
WFE/SFE,10,800,65.0,80
WFE/SFE,10,1500,58.75,80
WFE/SFE,10,3000,65.0,80
WFE/SFE,10,4000,62.5,80
WFE/SFE,11,800,57.49999999999999,80
WFE/SFE,11,1500,52.5,80
WFE/SFE,11,3000,66.25,80
WFE/SFE,11,4000,75.0,80
WFE/SFE,12,800,56.25,80
WFE/SFE,12,1500,43.75,80
WFE/SFE,12,3000,63.74999999999999,80
WFE/SFE,12,4000,61.25000000000001,80
WFE/SFE,13,800,68.75,80
WFE/SFE,13,1500,68.75,80
WFE/SFE,13,3000,58.75,80
WFE/SFE,13,4000,61.25000000000001,80
WFE/SFE,14,800,57.49999999999999,80
WFE/SFE,14,1500,63.74999999999999,80
WFE/SFE,14,3000,67.5,80
WFE/SFE,14,4000,56.25,80
WFE/SFE,15,800,53.75,80
WFE/SFE,15,1500,55.00000000000001,80
WFE/SFE,15,3000,57.49999999999999,80
WFE/SFE,15,4000,50.0,80
WFE/SFE,16,800,46.25,80
WFE/SFE,16,1500,57.49999999999999,80
WFE/SFE,16,3000,47.5,80
WFE/SFE,16,4000,53.75,80
WFE/SFE,17,800,51.24999999999999,80
WFE/SFE,17,1500,51.24999999999999,80
WFE/SFE,17,3000,58.75,80
WFE/SFE,17,4000,61.25000000000001,80
WFE/SFE,18,800,67.5,80
WFE/SFE,18,1500,65.0,80
WFE/SFE,18,3000,93.75,80
WFE/SFE,18,4000,90.0,80
