scope,pair,contrast,window,n_subjects,mean_slim,mean_ref,diff,ci_lo,ci_hi,p_ttest,n_slim_better,n_ref_better,p_holm
pair,WAA_SAA,Slim - Conformer A,800,2,49.513889,59.722222,-10.208333,-55.209475,34.792808,0.212596,0,2,1.0
pair,WAA_SAA,Slim - Conformer A,1500,2,53.958333,62.013889,-8.055556,-96.293088,80.181977,0.452929,0,2,1.0
pair,WAA_SAA,Slim - Conformer A,3000,2,50.138889,63.819444,-13.680556,-46.328443,18.967332,0.118191,0,2,1.0
pair,WAA_SAA,Slim - Conformer A,4000,2,54.166667,61.805556,-7.638889,-9.40364,-5.874138,0.011574,0,2,0.347209
pair,WAA_SAA,Slim - Conformer A,avg,2,51.944444,61.840278,-9.895833,-50.926286,31.134619,0.200804,0,2,1.0
pair,WAA_SAA,Slim - Conformer B,800,2,49.513889,55.763889,-6.25,-53.898268,41.398268,0.344042,0,2,1.0
pair,WAA_SAA,Slim - Conformer B,1500,2,53.958333,54.930556,-0.972222,-83.915503,81.971059,0.905876,1,1,1.0
pair,WAA_SAA,Slim - Conformer B,3000,2,50.138889,50.902778,-0.763889,-38.706028,37.17825,0.840563,1,1,1.0
pair,WAA_SAA,Slim - Conformer B,4000,2,54.166667,55.208333,-1.041667,-30.160053,28.076719,0.728401,1,1,1.0
pair,WAA_SAA,Slim - Conformer B,avg,2,51.944444,54.201389,-2.256944,-13.286636,8.772747,0.23375,0,2,1.0
pair,HOC_WFE,Slim - Conformer A,800,2,48.333333,54.513889,-6.180556,-70.593955,58.232843,0.437327,0,2,1.0
pair,HOC_WFE,Slim - Conformer A,1500,2,50.486111,56.388889,-5.902778,-10.314654,-1.490901,0.037405,0,2,1.0
pair,HOC_WFE,Slim - Conformer A,3000,2,51.805556,48.194444,3.611111,-141.098443,148.320665,0.804529,1,1,1.0
pair,HOC_WFE,Slim - Conformer A,4000,2,50.486111,51.527778,-1.041667,-98.985328,96.901995,0.914488,1,1,1.0
pair,HOC_WFE,Slim - Conformer A,avg,2,50.277778,52.65625,-2.378472,-7.893318,3.136374,0.114907,0,2,1.0
pair,HOC_WFE,Slim - Conformer B,800,2,48.333333,50.555556,-2.222222,-30.458233,26.013788,0.5,0,1,1.0
pair,HOC_WFE,Slim - Conformer B,1500,2,50.486111,49.583333,0.902778,-58.216369,60.021925,0.877993,1,1,1.0
pair,HOC_WFE,Slim - Conformer B,3000,2,51.805556,47.152778,4.652778,-110.93839,120.243946,0.699028,1,1,1.0
pair,HOC_WFE,Slim - Conformer B,4000,2,50.486111,43.541667,6.944444,-144.824112,158.713001,0.664739,1,1,1.0
pair,HOC_WFE,Slim - Conformer B,avg,2,50.277778,47.708333,2.569444,-14.195687,19.334576,0.302012,2,0,1.0
pair,EPS_SPS,Slim - Conformer A,800,2,53.611111,49.652778,3.958333,-30.454304,38.370971,0.382004,2,0,1.0
pair,EPS_SPS,Slim - Conformer A,1500,2,53.194444,66.388889,-13.194444,-85.549221,59.160333,0.259378,0,2,1.0
pair,EPS_SPS,Slim - Conformer A,3000,2,50.833333,58.75,-7.916667,-66.153438,50.320105,0.334095,0,2,1.0
pair,EPS_SPS,Slim - Conformer A,4000,2,55.138889,60.555556,-5.416667,-31.887927,21.054593,0.23375,0,2,1.0
pair,EPS_SPS,Slim - Conformer A,avg,2,53.194444,58.836806,-5.642361,-17.333834,6.049112,0.102912,0,2,1.0
pair,EPS_SPS,Slim - Conformer B,800,2,53.611111,50.138889,3.472222,-8.881032,15.825477,0.173803,2,0,1.0
pair,EPS_SPS,Slim - Conformer B,1500,2,53.194444,50.138889,3.055556,-21.650954,27.762065,0.360791,2,0,1.0
pair,EPS_SPS,Slim - Conformer B,3000,2,50.833333,52.569444,-1.736111,-7.912738,4.440516,0.173803,0,2,1.0
pair,EPS_SPS,Slim - Conformer B,4000,2,55.138889,53.333333,1.805556,-7.018198,10.629309,0.23375,2,0,1.0
pair,EPS_SPS,Slim - Conformer B,avg,2,53.194444,51.545139,1.649306,-5.189103,8.487714,0.200804,2,0,1.0
pooled,ALL(3),Slim - Conformer A,800,2,50.486111,54.62963,-4.143519,-52.085911,43.798874,0.470238,0,2,1.0
pooled,ALL(3),Slim - Conformer A,1500,2,52.546296,61.597222,-9.050926,-15.815803,-2.286048,0.037405,0,2,0.374051
pooled,ALL(3),Slim - Conformer A,3000,2,50.925926,56.921296,-5.99537,-23.937002,11.946261,0.147254,0,2,1.0
pooled,ALL(3),Slim - Conformer A,4000,2,53.263889,57.962963,-4.699074,-45.582464,36.184316,0.382229,0,2,1.0
pooled,ALL(3),Slim - Conformer A,avg,2,51.805556,57.777778,-5.972222,-25.384479,13.440035,0.159437,0,2,1.0
pooled,ALL(3),Slim - Conformer B,800,2,50.486111,52.152778,-1.666667,-22.843675,19.510341,0.5,0,1,1.0
pooled,ALL(3),Slim - Conformer B,1500,2,52.546296,51.550926,0.99537,-38.123269,40.11401,0.800928,1,1,1.0
pooled,ALL(3),Slim - Conformer B,3000,2,50.925926,50.208333,0.717593,-27.224293,28.659478,0.799196,1,1,1.0
pooled,ALL(3),Slim - Conformer B,4000,2,53.263889,50.694444,2.569444,-35.372695,40.511584,0.547657,1,1,1.0
pooled,ALL(3),Slim - Conformer B,avg,2,51.805556,51.15162,0.653935,-6.331536,7.639407,0.445045,2,0,1.0
