pair,mode,subject,window_ms,accuracy,n_test
SAA/SFE,cwt,1,4000,48.888888888888886,90
SAA/SFE,cwt,2,4000,37.5,80
SAA/SFE,cwt,3,4000,51.24999999999999,80
SAA/SFE,cwt,4,4000,46.25,80
SAA/SFE,cwt,5,4000,40.74074074074074,81
SAA/SFE,cwt,6,4000,58.75,80
SAA/SFE,cwt,7,4000,45.0,80
SAA/SFE,cwt,8,4000,41.25,80
SAA/SFE,cwt,9,4000,60.0,80
SAA/SFE,cwt,10,4000,51.24999999999999,80
SAA/SFE,cwt,11,4000,46.25,80
SAA/SFE,cwt,12,4000,55.00000000000001,80
SAA/SFE,cwt,13,4000,53.75,80
SAA/SFE,cwt,14,4000,46.25,80
SAA/SFE,cwt,15,4000,48.75,80
SAA/SFE,cwt,16,4000,57.49999999999999,80
SAA/SFE,cwt,17,4000,45.0,80
SAA/SFE,cwt,18,4000,61.25000000000001,80
