pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/SPS,cwt,1,4000,1,72.22222222222223,77.77777777777777,18
HOC/SPS,cwt,1,4000,2,72.22222222222223,83.33333333333333,18
HOC/SPS,cwt,1,4000,3,55.55555555555556,100.0,18
HOC/SPS,cwt,1,4000,4,94.44444444444444,88.88888888888889,18
HOC/SPS,cwt,1,4000,5,72.22222222222223,77.77777777777777,18
HOC/SPS,cwt,2,4000,1,50.0,56.25,16
HOC/SPS,cwt,2,4000,2,37.5,50.0,16
HOC/SPS,cwt,2,4000,3,43.75,75.0,16
HOC/SPS,cwt,2,4000,4,25.0,56.25,16
HOC/SPS,cwt,2,4000,5,43.75,68.75,16
HOC/SPS,cwt,3,4000,1,68.75,81.25,16
HOC/SPS,cwt,3,4000,2,87.5,75.0,16
HOC/SPS,cwt,3,4000,3,75.0,81.25,16
HOC/SPS,cwt,3,4000,4,75.0,68.75,16
HOC/SPS,cwt,3,4000,5,75.0,68.75,16
HOC/SPS,cwt,4,4000,1,93.75,81.25,16
HOC/SPS,cwt,4,4000,2,100.0,81.25,16
HOC/SPS,cwt,4,4000,3,81.25,100.0,16
HOC/SPS,cwt,4,4000,4,93.75,93.75,16
HOC/SPS,cwt,4,4000,5,81.25,93.75,16
HOC/SPS,cwt,5,4000,1,62.5,75.0,16
HOC/SPS,cwt,5,4000,2,62.5,68.75,16
HOC/SPS,cwt,5,4000,3,75.0,50.0,16
HOC/SPS,cwt,5,4000,4,75.0,87.5,16
HOC/SPS,cwt,5,4000,5,62.5,81.25,16
HOC/SPS,cwt,6,4000,1,56.25,62.5,16
HOC/SPS,cwt,6,4000,2,81.25,50.0,16
HOC/SPS,cwt,6,4000,3,50.0,56.25,16
HOC/SPS,cwt,6,4000,4,62.5,62.5,16
HOC/SPS,cwt,6,4000,5,37.5,68.75,16
HOC/SPS,cwt,7,4000,1,56.25,93.75,16
HOC/SPS,cwt,7,4000,2,68.75,75.0,16
HOC/SPS,cwt,7,4000,3,81.25,62.5,16
HOC/SPS,cwt,7,4000,4,75.0,68.75,16
HOC/SPS,cwt,7,4000,5,68.75,81.25,16
HOC/SPS,cwt,8,4000,1,50.0,50.0,16
HOC/SPS,cwt,8,4000,2,43.75,56.25,16
HOC/SPS,cwt,8,4000,3,62.5,68.75,16
HOC/SPS,cwt,8,4000,4,43.75,62.5,16
HOC/SPS,cwt,8,4000,5,87.5,62.5,16
HOC/SPS,cwt,9,4000,1,93.75,93.75,16
HOC/SPS,cwt,9,4000,2,68.75,75.0,16
HOC/SPS,cwt,9,4000,3,68.75,87.5,16
HOC/SPS,cwt,9,4000,4,87.5,81.25,16
HOC/SPS,cwt,9,4000,5,75.0,93.75,16
HOC/SPS,cwt,10,4000,1,87.5,87.5,16
HOC/SPS,cwt,10,4000,2,93.75,93.75,16
HOC/SPS,cwt,10,4000,3,93.75,87.5,16
HOC/SPS,cwt,10,4000,4,75.0,93.75,16
HOC/SPS,cwt,10,4000,5,75.0,87.5,16
HOC/SPS,cwt,11,4000,1,50.0,62.5,16
HOC/SPS,cwt,11,4000,2,56.25,75.0,16
HOC/SPS,cwt,11,4000,3,50.0,68.75,16
HOC/SPS,cwt,11,4000,4,62.5,56.25,16
HOC/SPS,cwt,11,4000,5,62.5,56.25,16
HOC/SPS,cwt,12,4000,1,62.5,50.0,16
HOC/SPS,cwt,12,4000,2,43.75,62.5,16
HOC/SPS,cwt,12,4000,3,75.0,75.0,16
HOC/SPS,cwt,12,4000,4,56.25,62.5,16
HOC/SPS,cwt,12,4000,5,56.25,56.25,16
HOC/SPS,cwt,13,4000,1,56.25,62.5,16
HOC/SPS,cwt,13,4000,2,68.75,87.5,16
HOC/SPS,cwt,13,4000,3,56.25,62.5,16
HOC/SPS,cwt,13,4000,4,75.0,50.0,16
HOC/SPS,cwt,13,4000,5,50.0,75.0,16
HOC/SPS,cwt,14,4000,1,62.5,68.75,16
HOC/SPS,cwt,14,4000,2,62.5,75.0,16
HOC/SPS,cwt,14,4000,3,68.75,62.5,16
HOC/SPS,cwt,14,4000,4,62.5,56.25,16
HOC/SPS,cwt,14,4000,5,62.5,62.5,16
HOC/SPS,cwt,15,4000,1,37.5,56.25,16
HOC/SPS,cwt,15,4000,2,43.75,56.25,16
HOC/SPS,cwt,15,4000,3,37.5,56.25,16
HOC/SPS,cwt,15,4000,4,43.75,62.5,16
HOC/SPS,cwt,15,4000,5,50.0,56.25,16
HOC/SPS,cwt,16,4000,1,68.75,62.5,16
HOC/SPS,cwt,16,4000,2,50.0,81.25,16
HOC/SPS,cwt,16,4000,3,68.75,75.0,16
HOC/SPS,cwt,16,4000,4,68.75,87.5,16
HOC/SPS,cwt,16,4000,5,75.0,87.5,16
HOC/SPS,cwt,17,4000,1,75.0,87.5,16
HOC/SPS,cwt,17,4000,2,87.5,81.25,16
HOC/SPS,cwt,17,4000,3,68.75,93.75,16
HOC/SPS,cwt,17,4000,4,93.75,81.25,16
HOC/SPS,cwt,17,4000,5,75.0,93.75,16
HOC/SPS,cwt,18,4000,1,75.0,81.25,16
HOC/SPS,cwt,18,4000,2,87.5,56.25,16
HOC/SPS,cwt,18,4000,3,81.25,62.5,16
HOC/SPS,cwt,18,4000,4,62.5,68.75,16
HOC/SPS,cwt,18,4000,5,75.0,68.75,16
