pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
HOC/SPS,distant,raw,1,75.5556,0.5111,75.4464,68.8889,82.2222,31.0,37.0,8.0,14.0,90.0,75.5556
HOC/SPS,distant,raw,2,58.75,0.175,58.6919,62.5,55.0,25.0,22.0,18.0,15.0,80.0,58.75
HOC/SPS,distant,raw,3,73.75,0.475,73.5475,65.0,82.5,26.0,33.0,7.0,14.0,80.0,73.75
HOC/SPS,distant,raw,4,87.5,0.75,87.5,87.5,87.5,35.0,35.0,5.0,5.0,80.0,87.5
HOC/SPS,distant,raw,5,65.0,0.3,65.0,65.0,65.0,26.0,26.0,14.0,14.0,80.0,65.0
HOC/SPS,distant,raw,6,47.5,-0.05,45.8414,30.0,65.0,12.0,26.0,14.0,28.0,80.0,47.5
HOC/SPS,distant,raw,7,71.25,0.425,71.1373,77.5,65.0,31.0,26.0,14.0,9.0,80.0,71.25
HOC/SPS,distant,raw,8,63.75,0.275,63.6078,70.0,57.5,28.0,23.0,17.0,12.0,80.0,63.75
HOC/SPS,distant,raw,9,63.75,0.275,63.6078,70.0,57.5,28.0,23.0,17.0,12.0,80.0,63.75
HOC/SPS,distant,raw,10,78.75,0.575,78.7467,80.0,77.5,32.0,31.0,9.0,8.0,80.0,78.75
HOC/SPS,distant,raw,11,71.25,0.425,71.0282,80.0,62.5,32.0,25.0,15.0,8.0,80.0,71.25
HOC/SPS,distant,raw,12,61.25,0.225,60.951,70.0,52.5,28.0,21.0,19.0,12.0,80.0,61.25
HOC/SPS,distant,raw,13,53.75,0.075,53.5686,60.0,47.5,24.0,19.0,21.0,16.0,80.0,53.75
HOC/SPS,distant,raw,14,60.0,0.2,59.975,62.5,57.5,25.0,23.0,17.0,15.0,80.0,60.0
HOC/SPS,distant,raw,15,50.0,0.0,49.8747,45.0,55.0,18.0,22.0,18.0,22.0,80.0,50.0
HOC/SPS,distant,raw,16,62.5,0.25,62.406,57.5,67.5,23.0,27.0,13.0,17.0,80.0,62.5
HOC/SPS,distant,raw,17,80.0,0.6,79.6825,67.5,92.5,27.0,37.0,3.0,13.0,80.0,80.0
HOC/SPS,distant,raw,18,76.25,0.525,76.1569,70.0,82.5,28.0,33.0,7.0,12.0,80.0,76.25
HOC/SPS,distant,cwt,1,76.6667,0.5333,76.6407,80.0,73.3333,36.0,33.0,12.0,9.0,90.0,76.6667
HOC/SPS,distant,cwt,2,53.75,0.075,53.7428,55.0,52.5,22.0,21.0,19.0,18.0,80.0,53.75
HOC/SPS,distant,cwt,3,77.5,0.55,77.5,77.5,77.5,31.0,31.0,9.0,9.0,80.0,77.5
HOC/SPS,distant,cwt,4,88.75,0.775,88.7342,92.5,85.0,37.0,34.0,6.0,3.0,80.0,88.75
HOC/SPS,distant,cwt,5,63.75,0.275,63.6078,70.0,57.5,28.0,23.0,17.0,12.0,80.0,63.75
HOC/SPS,distant,cwt,6,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
HOC/SPS,distant,cwt,7,72.5,0.45,72.4311,67.5,77.5,27.0,31.0,9.0,13.0,80.0,72.5
HOC/SPS,distant,cwt,8,45.0,-0.1,44.6889,52.5,37.5,21.0,15.0,25.0,19.0,80.0,45.0
HOC/SPS,distant,cwt,9,70.0,0.4,69.9812,67.5,72.5,27.0,29.0,11.0,13.0,80.0,70.0
HOC/SPS,distant,cwt,10,85.0,0.7,84.9151,77.5,92.5,31.0,37.0,3.0,9.0,80.0,85.0
HOC/SPS,distant,cwt,11,60.0,0.2,59.7737,67.5,52.5,27.0,21.0,19.0,13.0,80.0,60.0
HOC/SPS,distant,cwt,12,51.25,0.025,51.1813,47.5,55.0,19.0,22.0,18.0,21.0,80.0,51.25
HOC/SPS,distant,cwt,13,55.0,0.1,55.0,55.0,55.0,22.0,22.0,18.0,18.0,80.0,55.0
HOC/SPS,distant,cwt,14,65.0,0.3,64.9781,67.5,62.5,27.0,25.0,15.0,13.0,80.0,65.0
HOC/SPS,distant,cwt,15,41.25,-0.175,41.1673,45.0,37.5,18.0,15.0,25.0,22.0,80.0,41.25
HOC/SPS,distant,cwt,16,65.0,0.3,64.802,57.5,72.5,23.0,29.0,11.0,17.0,80.0,65.0
HOC/SPS,distant,cwt,17,81.25,0.625,81.2236,77.5,85.0,31.0,34.0,6.0,9.0,80.0,81.25
HOC/SPS,distant,cwt,18,81.25,0.625,81.2236,77.5,85.0,31.0,34.0,6.0,9.0,80.0,81.25
SAA/SFE,same,raw,1,51.1111,0.0222,51.0143,46.6667,55.5556,21.0,25.0,20.0,24.0,90.0,51.1111
SAA/SFE,same,raw,2,53.75,0.075,53.5686,60.0,47.5,24.0,19.0,21.0,16.0,80.0,53.75
SAA/SFE,same,raw,3,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
SAA/SFE,same,raw,4,50.0,0.0,49.9687,47.5,52.5,19.0,21.0,19.0,21.0,80.0,50.0
SAA/SFE,same,raw,5,46.9136,-0.0622,46.8812,48.7805,45.0,20.0,18.0,22.0,21.0,81.0,46.8382
SAA/SFE,same,raw,6,65.0,0.3,65.0,65.0,65.0,26.0,26.0,14.0,14.0,80.0,65.0
SAA/SFE,same,raw,7,47.5,-0.05,47.3684,42.5,52.5,17.0,21.0,19.0,23.0,80.0,47.5
SAA/SFE,same,raw,8,53.75,0.075,53.7428,52.5,55.0,21.0,22.0,18.0,19.0,80.0,53.75
SAA/SFE,same,raw,9,50.0,0.0,49.7172,42.5,57.5,17.0,23.0,17.0,23.0,80.0,50.0
SAA/SFE,same,raw,10,45.0,-0.1,45.0,45.0,45.0,18.0,18.0,22.0,22.0,80.0,45.0
SAA/SFE,same,raw,11,46.25,-0.075,45.561,57.5,35.0,23.0,14.0,26.0,17.0,80.0,46.25
SAA/SFE,same,raw,12,47.5,-0.05,47.5,47.5,47.5,19.0,19.0,21.0,21.0,80.0,47.5
SAA/SFE,same,raw,13,57.5,0.15,57.2596,65.0,50.0,26.0,20.0,20.0,14.0,80.0,57.5
SAA/SFE,same,raw,14,57.5,0.15,57.5,57.5,57.5,23.0,23.0,17.0,17.0,80.0,57.5
SAA/SFE,same,raw,15,50.0,0.0,49.2063,62.5,37.5,25.0,15.0,25.0,15.0,80.0,50.0
SAA/SFE,same,raw,16,57.5,0.15,57.4734,55.0,60.0,22.0,24.0,16.0,18.0,80.0,57.5
SAA/SFE,same,raw,17,53.75,0.075,53.7428,52.5,55.0,21.0,22.0,18.0,19.0,80.0,53.75
SAA/SFE,same,raw,18,80.0,0.6,79.9499,75.0,85.0,30.0,34.0,6.0,10.0,80.0,80.0
SAA/SFE,same,cwt,1,47.7778,-0.0444,47.7197,51.1111,44.4444,23.0,20.0,25.0,22.0,90.0,47.7778
SAA/SFE,same,cwt,2,37.5,-0.25,36.5079,25.0,50.0,10.0,20.0,20.0,30.0,80.0,37.5
