mode,subject,mean,sd,n_pairs
cwt,1,62.222,20.428,2
cwt,2,45.625,11.49,2
cwt,3,66.25,15.91,2
cwt,4,70.0,26.517,2
cwt,5,54.715,12.778,2
cwt,6,61.25,7.071,2
cwt,7,58.125,20.329,2
cwt,8,46.25,1.768,2
cwt,9,61.25,12.374,2
cwt,10,73.125,16.794,2
cwt,11,53.125,9.723,2
cwt,12,51.25,0.0,2
cwt,13,55.625,0.884,2
cwt,14,56.25,12.374,2
cwt,15,46.25,7.071,2
cwt,16,60.625,6.187,2
cwt,17,63.75,24.749,2
cwt,18,73.75,10.607,2
raw,1,63.704,12.239,3
raw,2,57.5,3.307,3
raw,3,73.75,8.75,3
raw,4,74.583,21.299,3
raw,5,50.221,13.434,3
raw,6,58.333,9.465,3
raw,7,64.583,14.913,3
raw,8,55.0,8.197,3
raw,9,57.917,7.108,3
raw,10,60.833,16.971,3
raw,11,57.5,12.686,3
raw,12,52.083,7.939,3
raw,13,53.75,3.75,3
raw,14,59.167,1.443,3
raw,15,45.833,7.217,3
raw,16,58.75,3.307,3
raw,17,66.667,13.13,3
raw,18,77.917,1.909,3
