pair,proximity,shallow,fine_paper,raw_acc,raw_accM,raw_kappa,raw_f1,raw_sens,raw_spec,raw_sd,cwt_acc,cwt_accM,cwt_kappa,cwt_f1,cwt_sens,cwt_spec,cwt_sd,n_subj,delta,n_better,n_worse,n_tied,cohen_dz,rank_biserial,p,delta_kappa,p_holm,p_fdr
HOC/SPS,distant,65.49,68.51,64.2284,64.2284,0.2846,64.0636,63.7963,64.6605,11.04,67.1914,67.1914,0.3438,67.0993,66.5895,67.7932,12.91,18,2.9629629629629615,12,5,1,0.36222827351396114,0.39215686274509803,0.15545019128394752,0.0593,1.0,0.48362281732783674
HOC/SFE,distant,63.37,65.17,63.6377,63.6438,0.2727,63.3907,61.1894,66.0802,11.38,65.3549,65.3518,0.307,65.2734,64.403,66.2963,13.53,18,1.7172496570644722,10,8,0,0.19487087117183316,0.18128654970760233,0.4991472413605187,0.0343,1.0,0.8369913123430093
HOC/SAA,distant,63.13,67.85,65.9799,65.9799,0.3196,65.8213,63.7037,68.2562,11.09,64.7145,64.7145,0.2943,64.6224,65.787,63.642,12.65,18,-1.2654320987654333,8,8,2,-0.13923316912592965,-0.11764705882352941,0.6788622187926112,-0.0253,1.0,0.8845829175187285
WAA/SAA,distant,60.56,63.06,60.9414,60.9414,0.2188,60.8068,58.8889,62.9938,14.42,63.4182,63.4182,0.2684,63.2905,64.6142,62.2222,12.87,18,2.4768518518518547,9,8,1,0.23453390484671396,0.2875816993464052,0.2973336035363796,0.0495,1.0,0.6937784082515525
WAA/SFE,distant,56.83,63.57,61.7104,61.7234,0.2341,61.6183,61.1875,62.2222,11.14,62.3723,62.3661,0.2474,62.2986,63.0413,61.6975,10.22,18,0.6618655692729772,9,8,1,0.07890996715358153,0.09803921568627451,0.7223389919650491,0.0133,1.0,0.8845829175187285
WFE/SPS,distant,61.81,63.35,61.5046,61.5046,0.2301,61.4199,61.2037,61.8056,9.28,61.3889,61.3889,0.2278,61.2843,61.4198,61.358,8.0,18,-0.11574074074074285,9,9,0,-0.020085038126248695,-0.08771929824561403,0.743744252337134,-0.0023,1.0,0.8845829175187285
WFE/SAA,distant,59.44,65.01,60.5247,60.5247,0.2105,60.4261,58.6111,62.4383,11.01,61.304,61.304,0.2261,61.1685,60.6019,62.0062,7.65,18,0.7793209876543207,11,7,0,0.08721497088868946,0.1286549707602339,0.6312928171533616,0.0156,1.0,0.8838099440147061
EPS/SFE,adjacent,58.97,61.68,58.0993,58.1082,0.162,57.9604,58.3427,57.8549,9.56,61.2937,61.2859,0.2259,61.1957,61.9832,60.6019,7.6,18,3.1944444444444446,12,5,1,0.4405572976440703,0.5032679738562091,0.0683378663632811,0.0639,1.0,0.48362281732783674
EPS/SAA,adjacent,55.69,62.95,60.4244,60.4244,0.2085,60.2838,59.784,61.0648,12.45,60.1775,60.1775,0.2035,60.0631,61.5278,58.8272,12.43,18,-0.24691358024691468,11,7,0,-0.03049995528206654,0.05847953216374269,0.8276024022312981,-0.0049,1.0,0.9095215204809648
WAA/SPS,distant,59.72,63.85,61.6358,61.6358,0.2327,61.485,60.3704,62.9012,8.87,60.1466,60.1466,0.2029,60.0313,59.5525,60.7407,10.29,18,-1.4891975308641952,7,10,1,-0.23280199719302336,-0.2222222222222222,0.42070483355320465,-0.0298,1.0,0.7853156892993153
HOC/EFE,adjacent,61.18,62.23,59.9228,59.9228,0.1985,59.6631,59.0741,60.7716,8.3,59.8457,59.8457,0.1969,59.7159,59.0432,60.6481,7.93,18,-0.07716049382716111,7,8,3,-0.014825300667428369,0.025,0.9319011847466548,-0.0015,1.0,0.9664160434409753
EPS/SPS,adjacent,59.24,62.25,57.9938,57.9938,0.1599,57.883,59.2284,56.7593,7.84,59.3904,59.3904,0.1878,59.2766,59.0123,59.7685,9.68,18,1.3966049382716053,8,8,2,0.15809170806126313,0.18382352941176472,0.5179765383890086,0.0279,1.0,0.8369913123430093
WAA/EFE,adjacent,57.85,59.12,57.9244,57.9244,0.1585,57.7903,59.5062,56.3426,8.83,58.4799,58.4799,0.1696,58.3313,60.463,56.4969,7.63,18,0.5555555555555551,8,9,1,0.07740618406770552,0.08496732026143791,0.7582139293017673,0.0111,1.0,0.8845829175187285
EFE/SPS,adjacent,58.61,58.83,57.5463,57.5463,0.1509,57.3499,59.1821,55.9105,7.65,58.3642,58.3642,0.1673,58.0987,58.642,58.0864,8.08,18,0.8179012345679008,10,7,1,0.10292808858625778,0.16993464052287582,0.5380658436490774,0.0164,1.0,0.8369913123430093
WFE/SFE,distant,61.14,61.66,60.5221,60.5265,0.2104,60.439,59.394,61.6512,9.1,58.0959,58.1,0.1619,57.9135,57.3449,58.8426,8.51,18,-2.426268861454046,7,9,2,-0.37786604296111453,-0.4485294117647059,0.11458658217829601,-0.0486,1.0,0.48362281732783674
EFE/SAA,adjacent,56.88,58.73,54.784,54.784,0.0957,54.6526,56.6204,52.9475,13.12,56.9907,56.9907,0.1398,56.7746,58.3025,55.679,8.11,18,2.2067901234567904,11,6,1,0.2648239501485839,0.35294117647058826,0.20107774648957155,0.0441,1.0,0.5630176901708003
EFE/SFE,adjacent,58.23,58.11,54.0003,53.9987,0.08,53.7971,53.2776,54.7222,10.55,56.9342,56.9467,0.1388,56.7681,55.0866,58.7963,8.43,18,2.933813443072701,12,6,0,0.4191294197706999,0.42105263157894735,0.11649083501471726,0.0588,1.0,0.48362281732783674
HOC/WAA,adjacent,56.88,60.32,58.7191,58.7191,0.1744,58.526,58.6111,58.8272,4.12,56.7824,56.7824,0.1356,56.6463,56.4506,57.1142,8.47,18,-1.9367283950617273,7,11,0,-0.28783590933128494,-0.23391812865497075,0.3829595503103569,-0.0387,1.0,0.7659191006207138
HOC/EPS,adjacent,56.32,57.97,57.1142,57.1142,0.1423,56.7518,59.7685,54.4599,9.17,56.5432,56.5432,0.1309,56.3537,55.5864,57.5,8.24,18,-0.5709876543209881,8,8,2,-0.060805134462816705,-0.15441176470588236,0.5869195689340561,-0.0114,1.0,0.8649341015870299
WFE/EFE,adjacent,56.6,57.38,55.4707,55.4707,0.1094,55.2832,56.8981,54.0432,7.27,55.6636,55.6636,0.1133,55.459,58.7346,52.5926,6.89,18,0.1929012345679016,9,7,2,0.02598190002340456,0.0,1.0,0.0039,1.0,1.0
