pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/EFE,cwt,1,4000,1,88.88888888888889,83.33333333333333,18
HOC/EFE,cwt,1,4000,2,66.66666666666667,88.88888888888889,18
HOC/EFE,cwt,1,4000,3,66.66666666666667,83.33333333333333,18
HOC/EFE,cwt,1,4000,4,61.111111111111114,88.88888888888889,18
HOC/EFE,cwt,1,4000,5,77.77777777777777,88.88888888888889,18
HOC/EFE,cwt,2,4000,1,43.75,75.0,16
HOC/EFE,cwt,2,4000,2,62.5,68.75,16
HOC/EFE,cwt,2,4000,3,43.75,56.25,16
HOC/EFE,cwt,2,4000,4,62.5,68.75,16
HOC/EFE,cwt,2,4000,5,56.25,75.0,16
HOC/EFE,cwt,3,4000,1,50.0,56.25,16
HOC/EFE,cwt,3,4000,2,75.0,43.75,16
HOC/EFE,cwt,3,4000,3,37.5,50.0,16
HOC/EFE,cwt,3,4000,4,56.25,62.5,16
HOC/EFE,cwt,3,4000,5,62.5,75.0,16
HOC/EFE,cwt,4,4000,1,81.25,81.25,16
HOC/EFE,cwt,4,4000,2,81.25,81.25,16
HOC/EFE,cwt,4,4000,3,87.5,87.5,16
HOC/EFE,cwt,4,4000,4,75.0,81.25,16
HOC/EFE,cwt,4,4000,5,56.25,87.5,16
HOC/EFE,cwt,5,4000,1,56.25,62.5,16
HOC/EFE,cwt,5,4000,2,68.75,75.0,16
HOC/EFE,cwt,5,4000,3,50.0,56.25,16
HOC/EFE,cwt,5,4000,4,56.25,68.75,16
HOC/EFE,cwt,5,4000,5,68.75,75.0,16
HOC/EFE,cwt,6,4000,1,43.75,75.0,16
HOC/EFE,cwt,6,4000,2,56.25,50.0,16
HOC/EFE,cwt,6,4000,3,56.25,87.5,16
HOC/EFE,cwt,6,4000,4,56.25,56.25,16
HOC/EFE,cwt,6,4000,5,56.25,68.75,16
HOC/EFE,cwt,7,4000,1,62.5,68.75,16
HOC/EFE,cwt,7,4000,2,56.25,62.5,16
HOC/EFE,cwt,7,4000,3,87.5,56.25,16
HOC/EFE,cwt,7,4000,4,62.5,56.25,16
HOC/EFE,cwt,7,4000,5,62.5,62.5,16
HOC/EFE,cwt,8,4000,1,50.0,50.0,16
HOC/EFE,cwt,8,4000,2,37.5,50.0,16
HOC/EFE,cwt,8,4000,3,62.5,50.0,16
HOC/EFE,cwt,8,4000,4,56.25,62.5,16
HOC/EFE,cwt,8,4000,5,62.5,50.0,16
HOC/EFE,cwt,9,4000,1,62.5,50.0,16
HOC/EFE,cwt,9,4000,2,56.25,62.5,16
HOC/EFE,cwt,9,4000,3,50.0,68.75,16
HOC/EFE,cwt,9,4000,4,68.75,68.75,16
HOC/EFE,cwt,9,4000,5,75.0,75.0,16
HOC/EFE,cwt,10,4000,1,68.75,75.0,16
HOC/EFE,cwt,10,4000,2,68.75,93.75,16
HOC/EFE,cwt,10,4000,3,75.0,68.75,16
HOC/EFE,cwt,10,4000,4,75.0,81.25,16
HOC/EFE,cwt,10,4000,5,56.25,68.75,16
HOC/EFE,cwt,11,4000,1,43.75,62.5,16
HOC/EFE,cwt,11,4000,2,75.0,50.0,16
HOC/EFE,cwt,11,4000,3,37.5,62.5,16
HOC/EFE,cwt,11,4000,4,56.25,43.75,16
HOC/EFE,cwt,11,4000,5,43.75,87.5,16
HOC/EFE,cwt,12,4000,1,31.25,62.5,16
HOC/EFE,cwt,12,4000,2,62.5,50.0,16
HOC/EFE,cwt,12,4000,3,37.5,43.75,16
HOC/EFE,cwt,12,4000,4,68.75,50.0,16
HOC/EFE,cwt,12,4000,5,50.0,43.75,16
HOC/EFE,cwt,13,4000,1,50.0,56.25,16
HOC/EFE,cwt,13,4000,2,50.0,62.5,16
HOC/EFE,cwt,13,4000,3,37.5,68.75,16
HOC/EFE,cwt,13,4000,4,50.0,62.5,16
HOC/EFE,cwt,13,4000,5,56.25,50.0,16
HOC/EFE,cwt,14,4000,1,56.25,81.25,16
HOC/EFE,cwt,14,4000,2,75.0,68.75,16
HOC/EFE,cwt,14,4000,3,62.5,75.0,16
HOC/EFE,cwt,14,4000,4,68.75,68.75,16
HOC/EFE,cwt,14,4000,5,43.75,68.75,16
HOC/EFE,cwt,15,4000,1,31.25,68.75,16
HOC/EFE,cwt,15,4000,2,68.75,56.25,16
HOC/EFE,cwt,15,4000,3,62.5,68.75,16
HOC/EFE,cwt,15,4000,4,50.0,68.75,16
HOC/EFE,cwt,15,4000,5,56.25,75.0,16
HOC/EFE,cwt,16,4000,1,81.25,62.5,16
HOC/EFE,cwt,16,4000,2,56.25,56.25,16
HOC/EFE,cwt,16,4000,3,50.0,62.5,16
HOC/EFE,cwt,16,4000,4,62.5,56.25,16
HOC/EFE,cwt,16,4000,5,50.0,68.75,16
HOC/EFE,cwt,17,4000,1,62.5,68.75,16
HOC/EFE,cwt,17,4000,2,62.5,62.5,16
HOC/EFE,cwt,17,4000,3,62.5,81.25,16
HOC/EFE,cwt,17,4000,4,56.25,87.5,16
HOC/EFE,cwt,17,4000,5,62.5,87.5,16
HOC/EFE,cwt,18,4000,1,75.0,75.0,16
HOC/EFE,cwt,18,4000,2,62.5,62.5,16
HOC/EFE,cwt,18,4000,3,68.75,75.0,16
HOC/EFE,cwt,18,4000,4,75.0,68.75,16
HOC/EFE,cwt,18,4000,5,56.25,56.25,16
