pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/SFE,cwt,1,4000,1,83.33333333333333,77.77777777777777,18
HOC/SFE,cwt,1,4000,2,72.22222222222223,66.66666666666667,18
HOC/SFE,cwt,1,4000,3,66.66666666666667,83.33333333333333,18
HOC/SFE,cwt,1,4000,4,66.66666666666667,100.0,18
HOC/SFE,cwt,1,4000,5,66.66666666666667,66.66666666666667,18
HOC/SFE,cwt,2,4000,1,68.75,62.5,16
HOC/SFE,cwt,2,4000,2,56.25,62.5,16
HOC/SFE,cwt,2,4000,3,56.25,56.25,16
HOC/SFE,cwt,2,4000,4,50.0,68.75,16
HOC/SFE,cwt,2,4000,5,37.5,68.75,16
HOC/SFE,cwt,3,4000,1,75.0,100.0,16
HOC/SFE,cwt,3,4000,2,68.75,100.0,16
HOC/SFE,cwt,3,4000,3,87.5,93.75,16
HOC/SFE,cwt,3,4000,4,68.75,81.25,16
HOC/SFE,cwt,3,4000,5,81.25,93.75,16
HOC/SFE,cwt,4,4000,1,75.0,87.5,16
HOC/SFE,cwt,4,4000,2,87.5,93.75,16
HOC/SFE,cwt,4,4000,3,81.25,100.0,16
HOC/SFE,cwt,4,4000,4,87.5,87.5,16
HOC/SFE,cwt,4,4000,5,87.5,93.75,16
HOC/SFE,cwt,5,4000,1,82.3529411764706,81.25,17
HOC/SFE,cwt,5,4000,2,75.0,94.11764705882354,16
HOC/SFE,cwt,5,4000,3,87.5,88.23529411764706,16
HOC/SFE,cwt,5,4000,4,75.0,88.23529411764706,16
HOC/SFE,cwt,5,4000,5,68.75,88.23529411764706,16
HOC/SFE,cwt,6,4000,1,56.25,62.5,16
HOC/SFE,cwt,6,4000,2,68.75,75.0,16
HOC/SFE,cwt,6,4000,3,81.25,75.0,16
HOC/SFE,cwt,6,4000,4,75.0,68.75,16
HOC/SFE,cwt,6,4000,5,56.25,93.75,16
HOC/SFE,cwt,7,4000,1,37.5,81.25,16
HOC/SFE,cwt,7,4000,2,43.75,56.25,16
HOC/SFE,cwt,7,4000,3,62.5,50.0,16
HOC/SFE,cwt,7,4000,4,62.5,50.0,16
HOC/SFE,cwt,7,4000,5,87.5,62.5,16
HOC/SFE,cwt,8,4000,1,25.0,50.0,16
HOC/SFE,cwt,8,4000,2,37.5,62.5,16
HOC/SFE,cwt,8,4000,3,37.5,50.0,16
HOC/SFE,cwt,8,4000,4,56.25,62.5,16
HOC/SFE,cwt,8,4000,5,62.5,50.0,16
HOC/SFE,cwt,9,4000,1,81.25,68.75,16
HOC/SFE,cwt,9,4000,2,62.5,68.75,16
HOC/SFE,cwt,9,4000,3,50.0,68.75,16
HOC/SFE,cwt,9,4000,4,50.0,62.5,16
HOC/SFE,cwt,9,4000,5,81.25,75.0,16
HOC/SFE,cwt,10,4000,1,87.5,75.0,16
HOC/SFE,cwt,10,4000,2,75.0,81.25,16
HOC/SFE,cwt,10,4000,3,81.25,56.25,16
HOC/SFE,cwt,10,4000,4,62.5,87.5,16
HOC/SFE,cwt,10,4000,5,62.5,75.0,16
HOC/SFE,cwt,11,4000,1,43.75,62.5,16
HOC/SFE,cwt,11,4000,2,50.0,56.25,16
HOC/SFE,cwt,11,4000,3,50.0,62.5,16
HOC/SFE,cwt,11,4000,4,75.0,56.25,16
HOC/SFE,cwt,11,4000,5,50.0,62.5,16
HOC/SFE,cwt,12,4000,1,62.5,56.25,16
HOC/SFE,cwt,12,4000,2,43.75,50.0,16
HOC/SFE,cwt,12,4000,3,50.0,68.75,16
HOC/SFE,cwt,12,4000,4,37.5,56.25,16
HOC/SFE,cwt,12,4000,5,31.25,56.25,16
HOC/SFE,cwt,13,4000,1,81.25,68.75,16
HOC/SFE,cwt,13,4000,2,81.25,81.25,16
HOC/SFE,cwt,13,4000,3,56.25,81.25,16
HOC/SFE,cwt,13,4000,4,68.75,75.0,16
HOC/SFE,cwt,13,4000,5,62.5,75.0,16
HOC/SFE,cwt,14,4000,1,62.5,68.75,16
HOC/SFE,cwt,14,4000,2,93.75,50.0,16
HOC/SFE,cwt,14,4000,3,68.75,68.75,16
HOC/SFE,cwt,14,4000,4,62.5,81.25,16
HOC/SFE,cwt,14,4000,5,56.25,68.75,16
HOC/SFE,cwt,15,4000,1,37.5,68.75,16
HOC/SFE,cwt,15,4000,2,18.75,81.25,16
HOC/SFE,cwt,15,4000,3,43.75,56.25,16
HOC/SFE,cwt,15,4000,4,56.25,50.0,16
HOC/SFE,cwt,15,4000,5,68.75,50.0,16
HOC/SFE,cwt,16,4000,1,56.25,50.0,16
HOC/SFE,cwt,16,4000,2,50.0,81.25,16
HOC/SFE,cwt,16,4000,3,62.5,62.5,16
HOC/SFE,cwt,16,4000,4,56.25,81.25,16
HOC/SFE,cwt,16,4000,5,56.25,75.0,16
HOC/SFE,cwt,17,4000,1,68.75,100.0,16
HOC/SFE,cwt,17,4000,2,81.25,87.5,16
HOC/SFE,cwt,17,4000,3,68.75,87.5,16
HOC/SFE,cwt,17,4000,4,75.0,93.75,16
HOC/SFE,cwt,17,4000,5,100.0,68.75,16
HOC/SFE,cwt,18,4000,1,87.5,87.5,16
HOC/SFE,cwt,18,4000,2,87.5,87.5,16
HOC/SFE,cwt,18,4000,3,100.0,81.25,16
HOC/SFE,cwt,18,4000,4,81.25,81.25,16
HOC/SFE,cwt,18,4000,5,81.25,87.5,16
