pair,mode,subject,window_ms,accuracy,n_test
HOC/SPS,cwt,1,4000,74.44444444444444,90
HOC/SPS,cwt,2,4000,48.75,80
HOC/SPS,cwt,3,4000,78.75,80
HOC/SPS,cwt,4,4000,88.75,80
HOC/SPS,cwt,5,4000,65.0,80
HOC/SPS,cwt,6,4000,67.5,80
HOC/SPS,cwt,7,4000,73.75,80
HOC/SPS,cwt,8,4000,53.75,80
HOC/SPS,cwt,9,4000,71.25,80
HOC/SPS,cwt,10,4000,85.0,80
HOC/SPS,cwt,11,4000,58.75,80
HOC/SPS,cwt,12,4000,55.00000000000001,80
HOC/SPS,cwt,13,4000,60.0,80
HOC/SPS,cwt,14,4000,70.0,80
HOC/SPS,cwt,15,4000,40.0,80
HOC/SPS,cwt,16,4000,62.5,80
HOC/SPS,cwt,17,4000,78.75,80
HOC/SPS,cwt,18,4000,77.5,80
