pair,mode,subject,window_ms,accuracy,n_test
SPS/SAA,cwt,1,4000,45.55555555555556,90
SPS/SAA,cwt,2,4000,40.0,80
SPS/SAA,cwt,3,4000,62.5,80
SPS/SAA,cwt,4,4000,75.0,80
SPS/SAA,cwt,5,4000,58.75,80
SPS/SAA,cwt,6,4000,57.49999999999999,80
SPS/SAA,cwt,7,4000,58.75,80
SPS/SAA,cwt,8,4000,40.0,80
SPS/SAA,cwt,9,4000,45.0,80
SPS/SAA,cwt,10,4000,67.5,80
SPS/SAA,cwt,11,4000,53.75,80
SPS/SAA,cwt,12,4000,47.5,80
SPS/SAA,cwt,13,4000,48.75,80
SPS/SAA,cwt,14,4000,52.5,80
SPS/SAA,cwt,15,4000,40.0,80
SPS/SAA,cwt,16,4000,47.5,80
SPS/SAA,cwt,17,4000,48.75,80
SPS/SAA,cwt,18,4000,52.5,80
