pair,mode,subject,window_ms,accuracy,n_test
WFE/EPS,cwt,1,4000,47.77777777777778,90
WFE/EPS,cwt,2,4000,57.49999999999999,80
WFE/EPS,cwt,3,4000,48.75,80
WFE/EPS,cwt,4,4000,61.25000000000001,80
WFE/EPS,cwt,5,4000,45.0,80
WFE/EPS,cwt,6,4000,42.5,80
WFE/EPS,cwt,7,4000,47.5,80
WFE/EPS,cwt,8,4000,58.75,80
WFE/EPS,cwt,9,4000,56.25,80
WFE/EPS,cwt,10,4000,48.75,80
WFE/EPS,cwt,11,4000,41.25,80
WFE/EPS,cwt,12,4000,62.5,80
WFE/EPS,cwt,13,4000,57.49999999999999,80
WFE/EPS,cwt,14,4000,41.25,80
WFE/EPS,cwt,15,4000,57.49999999999999,80
WFE/EPS,cwt,16,4000,52.5,80
WFE/EPS,cwt,17,4000,40.0,80
WFE/EPS,cwt,18,4000,58.75,80
