mode,pair,proximity,mean,sd,n
cwt,HOC/SPS,distant,67.191,12.911,18
cwt,HOC/SFE,distant,65.355,13.534,18
cwt,HOC/SAA,distant,64.715,12.646,18
cwt,WAA/SAA,distant,63.418,12.866,18
cwt,WAA/SFE,distant,62.372,10.222,18
cwt,WFE/SPS,distant,61.389,7.997,18
cwt,WFE/SAA,distant,61.304,7.652,18
cwt,EPS/SFE,adjacent,61.294,7.605,18
cwt,EPS/SAA,adjacent,60.177,12.431,18
cwt,WAA/SPS,distant,60.147,10.288,18
cwt,HOC/EFE,adjacent,59.846,7.925,18
cwt,EPS/SPS,adjacent,59.39,9.682,18
cwt,WAA/EFE,adjacent,58.48,7.627,18
cwt,EFE/SPS,adjacent,58.364,8.082,18
cwt,WFE/SFE,distant,58.096,8.514,18
cwt,EFE/SAA,adjacent,56.991,8.113,18
cwt,EFE/SFE,adjacent,56.934,8.427,18
cwt,HOC/WAA,adjacent,56.782,8.468,18
cwt,HOC/EPS,adjacent,56.543,8.244,18
cwt,WFE/EFE,adjacent,55.664,6.894,18
cwt,EPS/EFE,same,55.185,7.149,18
cwt,WFE/WAA,same,54.915,5.162,18
cwt,SPS/SFE,same,54.044,8.638,18
cwt,HOC/WFE,adjacent,52.693,7.091,18
cwt,SPS/SAA,same,52.323,9.661,18
cwt,WFE/EPS,adjacent,51.404,7.527,18
cwt,SAA/SFE,same,51.149,7.771,18
cwt,WAA/EPS,adjacent,50.725,7.134,18
raw,HOC/SAA,distant,65.98,11.088,18
raw,HOC/SPS,distant,64.228,11.036,18
raw,HOC/SFE,distant,63.638,11.378,18
raw,WAA/SFE,distant,61.71,11.139,18
raw,WAA/SPS,distant,61.636,8.869,18
raw,WFE/SPS,distant,61.505,9.275,18
raw,WAA/SAA,distant,60.941,14.42,18
raw,WFE/SAA,distant,60.525,11.012,18
raw,WFE/SFE,distant,60.522,9.1,18
raw,EPS/SAA,adjacent,60.424,12.447,18
raw,HOC/EFE,adjacent,59.923,8.297,18
raw,WFE/WAA,same,59.645,6.267,18
raw,HOC/WAA,adjacent,58.719,4.122,18
raw,EPS/SFE,adjacent,58.099,9.56,18
raw,EPS/SPS,adjacent,57.994,7.839,18
raw,WAA/EFE,adjacent,57.924,8.828,18
raw,EFE/SPS,adjacent,57.546,7.652,18
raw,HOC/EPS,adjacent,57.114,9.169,18
raw,SPS/SAA,same,55.764,10.797,18
raw,HOC/WFE,adjacent,55.71,6.619,18
raw,SPS/SFE,same,55.598,9.477,18
raw,WFE/EFE,adjacent,55.471,7.272,18
raw,EFE/SAA,adjacent,54.784,13.12,18
raw,EPS/EFE,same,54.344,8.005,18
raw,EFE/SFE,adjacent,54.0,10.549,18
raw,WAA/EPS,adjacent,53.935,8.632,18
raw,WFE/EPS,adjacent,53.819,7.038,18
raw,SAA/SFE,same,53.767,8.767,18
