mode,subject,mean,sd,n_pairs
cwt,1,59.444,8.793,28
cwt,2,48.17,6.323,28
cwt,3,64.152,12.542,28
cwt,4,70.982,11.387,28
cwt,5,57.307,7.492,28
cwt,6,60.446,6.43,28
cwt,7,58.304,7.76,28
cwt,8,50.134,6.6,28
cwt,9,60.045,8.488,28
cwt,10,61.696,9.69,28
cwt,11,53.393,5.609,28
cwt,12,52.723,6.134,28
cwt,13,58.08,8.849,28
cwt,14,57.812,8.979,28
cwt,15,51.92,5.667,28
cwt,16,57.277,6.086,28
cwt,17,56.83,9.921,28
cwt,18,67.143,9.384,28
raw,1,57.698,8.478,28
raw,2,56.429,6.699,28
raw,3,67.679,11.916,28
raw,4,70.893,11.631,28
raw,5,51.535,7.204,28
raw,6,57.679,7.278,28
raw,7,65.134,7.212,28
raw,8,53.661,8.7,28
raw,9,56.25,7.869,28
raw,10,58.661,9.267,28
raw,11,55.893,6.489,28
raw,12,55.446,7.722,28
raw,13,54.33,6.486,28
raw,14,56.071,6.074,28
raw,15,50.67,5.564,28
raw,16,58.08,6.222,28
raw,17,56.562,10.373,28
raw,18,68.571,10.616,28
