pair,mode,subject,window_ms,accuracy,n_test
EFE/SAA,raw,1,4000,41.11111111111111,90
EFE/SAA,raw,2,4000,71.25,80
EFE/SAA,raw,3,4000,71.25,80
EFE/SAA,raw,4,4000,62.5,80
EFE/SAA,raw,5,4000,46.25,80
EFE/SAA,raw,6,4000,40.0,80
EFE/SAA,raw,7,4000,62.5,80
EFE/SAA,raw,8,4000,38.75,80
EFE/SAA,raw,9,4000,67.5,80
EFE/SAA,raw,10,4000,58.75,80
EFE/SAA,raw,11,4000,47.5,80
EFE/SAA,raw,12,4000,53.75,80
EFE/SAA,raw,13,4000,46.25,80
EFE/SAA,raw,14,4000,58.75,80
EFE/SAA,raw,15,4000,47.5,80
EFE/SAA,raw,16,4000,43.75,80
EFE/SAA,raw,17,4000,43.75,80
EFE/SAA,raw,18,4000,85.0,80
