pair,mode,subject,window_ms,accuracy,n_test
EPS/SFE,raw,1,4000,48.888888888888886,90
EPS/SFE,raw,2,4000,61.25000000000001,80
EPS/SFE,raw,3,4000,73.75,80
EPS/SFE,raw,4,4000,68.75,80
EPS/SFE,raw,5,4000,48.148148148148145,81
EPS/SFE,raw,6,4000,67.5,80
EPS/SFE,raw,7,4000,71.25,80
EPS/SFE,raw,8,4000,53.75,80
EPS/SFE,raw,9,4000,46.25,80
EPS/SFE,raw,10,4000,57.49999999999999,80
EPS/SFE,raw,11,4000,52.5,80
EPS/SFE,raw,12,4000,47.5,80
EPS/SFE,raw,13,4000,62.5,80
EPS/SFE,raw,14,4000,56.25,80
EPS/SFE,raw,15,4000,45.0,80
EPS/SFE,raw,16,4000,60.0,80
EPS/SFE,raw,17,4000,52.5,80
EPS/SFE,raw,18,4000,72.5,80
