pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/EFE,raw,1,4000,1,77.77777777777777,83.33333333333333,18
HOC/EFE,raw,1,4000,2,72.22222222222223,88.88888888888889,18
HOC/EFE,raw,1,4000,3,72.22222222222223,83.33333333333333,18
HOC/EFE,raw,1,4000,4,61.111111111111114,94.44444444444444,18
HOC/EFE,raw,1,4000,5,72.22222222222223,94.44444444444444,18
HOC/EFE,raw,2,4000,1,50.0,75.0,16
HOC/EFE,raw,2,4000,2,62.5,50.0,16
HOC/EFE,raw,2,4000,3,50.0,75.0,16
HOC/EFE,raw,2,4000,4,56.25,68.75,16
HOC/EFE,raw,2,4000,5,62.5,56.25,16
HOC/EFE,raw,3,4000,1,56.25,56.25,16
HOC/EFE,raw,3,4000,2,75.0,50.0,16
HOC/EFE,raw,3,4000,3,43.75,56.25,16
HOC/EFE,raw,3,4000,4,31.25,75.0,16
HOC/EFE,raw,3,4000,5,56.25,50.0,16
HOC/EFE,raw,4,4000,1,93.75,68.75,16
HOC/EFE,raw,4,4000,2,68.75,75.0,16
HOC/EFE,raw,4,4000,3,68.75,93.75,16
HOC/EFE,raw,4,4000,4,87.5,87.5,16
HOC/EFE,raw,4,4000,5,62.5,87.5,16
HOC/EFE,raw,5,4000,1,37.5,56.25,16
HOC/EFE,raw,5,4000,2,56.25,75.0,16
HOC/EFE,raw,5,4000,3,50.0,50.0,16
HOC/EFE,raw,5,4000,4,50.0,68.75,16
HOC/EFE,raw,5,4000,5,68.75,68.75,16
HOC/EFE,raw,6,4000,1,62.5,56.25,16
HOC/EFE,raw,6,4000,2,43.75,68.75,16
HOC/EFE,raw,6,4000,3,62.5,68.75,16
HOC/EFE,raw,6,4000,4,62.5,50.0,16
HOC/EFE,raw,6,4000,5,50.0,56.25,16
HOC/EFE,raw,7,4000,1,75.0,87.5,16
HOC/EFE,raw,7,4000,2,75.0,75.0,16
HOC/EFE,raw,7,4000,3,81.25,68.75,16
HOC/EFE,raw,7,4000,4,62.5,62.5,16
HOC/EFE,raw,7,4000,5,87.5,81.25,16
HOC/EFE,raw,8,4000,1,37.5,56.25,16
HOC/EFE,raw,8,4000,2,62.5,62.5,16
HOC/EFE,raw,8,4000,3,50.0,62.5,16
HOC/EFE,raw,8,4000,4,56.25,62.5,16
HOC/EFE,raw,8,4000,5,75.0,56.25,16
HOC/EFE,raw,9,4000,1,68.75,68.75,16
HOC/EFE,raw,9,4000,2,87.5,75.0,16
HOC/EFE,raw,9,4000,3,37.5,68.75,16
HOC/EFE,raw,9,4000,4,43.75,81.25,16
HOC/EFE,raw,9,4000,5,56.25,62.5,16
HOC/EFE,raw,10,4000,1,68.75,75.0,16
HOC/EFE,raw,10,4000,2,62.5,75.0,16
HOC/EFE,raw,10,4000,3,68.75,68.75,16
HOC/EFE,raw,10,4000,4,87.5,68.75,16
HOC/EFE,raw,10,4000,5,56.25,75.0,16
HOC/EFE,raw,11,4000,1,62.5,62.5,16
HOC/EFE,raw,11,4000,2,75.0,68.75,16
HOC/EFE,raw,11,4000,3,50.0,81.25,16
HOC/EFE,raw,11,4000,4,62.5,68.75,16
HOC/EFE,raw,11,4000,5,37.5,75.0,16
HOC/EFE,raw,12,4000,1,43.75,62.5,16
HOC/EFE,raw,12,4000,2,43.75,68.75,16
HOC/EFE,raw,12,4000,3,43.75,56.25,16
HOC/EFE,raw,12,4000,4,62.5,50.0,16
HOC/EFE,raw,12,4000,5,68.75,50.0,16
HOC/EFE,raw,13,4000,1,50.0,50.0,16
HOC/EFE,raw,13,4000,2,43.75,62.5,16
HOC/EFE,raw,13,4000,3,56.25,56.25,16
HOC/EFE,raw,13,4000,4,56.25,56.25,16
HOC/EFE,raw,13,4000,5,56.25,56.25,16
HOC/EFE,raw,14,4000,1,37.5,62.5,16
HOC/EFE,raw,14,4000,2,68.75,56.25,16
HOC/EFE,raw,14,4000,3,56.25,75.0,16
HOC/EFE,raw,14,4000,4,68.75,75.0,16
HOC/EFE,raw,14,4000,5,43.75,68.75,16
HOC/EFE,raw,15,4000,1,56.25,50.0,16
HOC/EFE,raw,15,4000,2,68.75,62.5,16
HOC/EFE,raw,15,4000,3,68.75,62.5,16
HOC/EFE,raw,15,4000,4,37.5,75.0,16
HOC/EFE,raw,15,4000,5,37.5,62.5,16
HOC/EFE,raw,16,4000,1,68.75,68.75,16
HOC/EFE,raw,16,4000,2,56.25,62.5,16
HOC/EFE,raw,16,4000,3,31.25,81.25,16
HOC/EFE,raw,16,4000,4,56.25,68.75,16
HOC/EFE,raw,16,4000,5,62.5,93.75,16
HOC/EFE,raw,17,4000,1,68.75,68.75,16
HOC/EFE,raw,17,4000,2,68.75,75.0,16
HOC/EFE,raw,17,4000,3,68.75,75.0,16
HOC/EFE,raw,17,4000,4,68.75,50.0,16
HOC/EFE,raw,17,4000,5,68.75,87.5,16
HOC/EFE,raw,18,4000,1,75.0,56.25,16
HOC/EFE,raw,18,4000,2,56.25,68.75,16
HOC/EFE,raw,18,4000,3,56.25,81.25,16
HOC/EFE,raw,18,4000,4,43.75,62.5,16
HOC/EFE,raw,18,4000,5,62.5,62.5,16
