pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
SPS/SAA,raw,1,4000,1,50.0,66.66666666666667,18
SPS/SAA,raw,1,4000,2,44.44444444444444,61.111111111111114,18
SPS/SAA,raw,1,4000,3,55.55555555555556,61.111111111111114,18
SPS/SAA,raw,1,4000,4,38.888888888888886,61.111111111111114,18
SPS/SAA,raw,1,4000,5,61.111111111111114,55.55555555555556,18
SPS/SAA,raw,2,4000,1,37.5,68.75,16
SPS/SAA,raw,2,4000,2,43.75,81.25,16
SPS/SAA,raw,2,4000,3,50.0,62.5,16
SPS/SAA,raw,2,4000,4,68.75,68.75,16
SPS/SAA,raw,2,4000,5,43.75,50.0,16
SPS/SAA,raw,3,4000,1,68.75,87.5,16
SPS/SAA,raw,3,4000,2,81.25,87.5,16
SPS/SAA,raw,3,4000,3,68.75,75.0,16
SPS/SAA,raw,3,4000,4,93.75,75.0,16
SPS/SAA,raw,3,4000,5,87.5,93.75,16
SPS/SAA,raw,4,4000,1,81.25,87.5,16
SPS/SAA,raw,4,4000,2,81.25,75.0,16
SPS/SAA,raw,4,4000,3,81.25,75.0,16
SPS/SAA,raw,4,4000,4,81.25,68.75,16
SPS/SAA,raw,4,4000,5,50.0,93.75,16
SPS/SAA,raw,5,4000,1,62.5,62.5,16
SPS/SAA,raw,5,4000,2,37.5,62.5,16
SPS/SAA,raw,5,4000,3,37.5,62.5,16
SPS/SAA,raw,5,4000,4,56.25,56.25,16
SPS/SAA,raw,5,4000,5,31.25,68.75,16
SPS/SAA,raw,6,4000,1,43.75,62.5,16
SPS/SAA,raw,6,4000,2,31.25,68.75,16
SPS/SAA,raw,6,4000,3,75.0,56.25,16
SPS/SAA,raw,6,4000,4,43.75,81.25,16
SPS/SAA,raw,6,4000,5,56.25,62.5,16
SPS/SAA,raw,7,4000,1,56.25,81.25,16
SPS/SAA,raw,7,4000,2,75.0,68.75,16
SPS/SAA,raw,7,4000,3,81.25,68.75,16
SPS/SAA,raw,7,4000,4,62.5,81.25,16
SPS/SAA,raw,7,4000,5,87.5,75.0,16
SPS/SAA,raw,8,4000,1,43.75,68.75,16
SPS/SAA,raw,8,4000,2,43.75,81.25,16
SPS/SAA,raw,8,4000,3,50.0,68.75,16
SPS/SAA,raw,8,4000,4,50.0,62.5,16
SPS/SAA,raw,8,4000,5,31.25,50.0,16
SPS/SAA,raw,9,4000,1,37.5,50.0,16
SPS/SAA,raw,9,4000,2,50.0,62.5,16
SPS/SAA,raw,9,4000,3,43.75,50.0,16
SPS/SAA,raw,9,4000,4,31.25,62.5,16
SPS/SAA,raw,9,4000,5,43.75,50.0,16
SPS/SAA,raw,10,4000,1,68.75,62.5,16
SPS/SAA,raw,10,4000,2,37.5,62.5,16
SPS/SAA,raw,10,4000,3,37.5,62.5,16
SPS/SAA,raw,10,4000,4,75.0,50.0,16
SPS/SAA,raw,10,4000,5,56.25,75.0,16
SPS/SAA,raw,11,4000,1,68.75,50.0,16
SPS/SAA,raw,11,4000,2,62.5,62.5,16
SPS/SAA,raw,11,4000,3,31.25,56.25,16
SPS/SAA,raw,11,4000,4,56.25,56.25,16
SPS/SAA,raw,11,4000,5,37.5,62.5,16
SPS/SAA,raw,12,4000,1,68.75,81.25,16
SPS/SAA,raw,12,4000,2,68.75,50.0,16
SPS/SAA,raw,12,4000,3,56.25,62.5,16
SPS/SAA,raw,12,4000,4,37.5,81.25,16
SPS/SAA,raw,12,4000,5,81.25,68.75,16
SPS/SAA,raw,13,4000,1,50.0,75.0,16
SPS/SAA,raw,13,4000,2,43.75,75.0,16
SPS/SAA,raw,13,4000,3,68.75,62.5,16
SPS/SAA,raw,13,4000,4,68.75,56.25,16
SPS/SAA,raw,13,4000,5,62.5,68.75,16
SPS/SAA,raw,14,4000,1,56.25,75.0,16
SPS/SAA,raw,14,4000,2,37.5,62.5,16
SPS/SAA,raw,14,4000,3,62.5,56.25,16
SPS/SAA,raw,14,4000,4,75.0,68.75,16
SPS/SAA,raw,14,4000,5,43.75,68.75,16
SPS/SAA,raw,15,4000,1,43.75,68.75,16
SPS/SAA,raw,15,4000,2,68.75,56.25,16
SPS/SAA,raw,15,4000,3,50.0,62.5,16
SPS/SAA,raw,15,4000,4,50.0,75.0,16
SPS/SAA,raw,15,4000,5,56.25,56.25,16
SPS/SAA,raw,16,4000,1,56.25,62.5,16
SPS/SAA,raw,16,4000,2,50.0,50.0,16
SPS/SAA,raw,16,4000,3,50.0,68.75,16
SPS/SAA,raw,16,4000,4,50.0,75.0,16
SPS/SAA,raw,16,4000,5,56.25,62.5,16
SPS/SAA,raw,17,4000,1,56.25,50.0,16
SPS/SAA,raw,17,4000,2,43.75,62.5,16
SPS/SAA,raw,17,4000,3,37.5,56.25,16
SPS/SAA,raw,17,4000,4,43.75,68.75,16
SPS/SAA,raw,17,4000,5,62.5,50.0,16
SPS/SAA,raw,18,4000,1,37.5,87.5,16
SPS/SAA,raw,18,4000,2,62.5,62.5,16
SPS/SAA,raw,18,4000,3,56.25,62.5,16
SPS/SAA,raw,18,4000,4,56.25,62.5,16
SPS/SAA,raw,18,4000,5,87.5,50.0,16
