pair,mode,subject,window_ms,accuracy,n_test
SPS/SFE,raw,1,4000,48.888888888888886,90
SPS/SFE,raw,2,4000,52.5,80
SPS/SFE,raw,3,4000,72.5,80
SPS/SFE,raw,4,4000,62.5,80
SPS/SFE,raw,5,4000,50.617283950617285,81
SPS/SFE,raw,6,4000,65.0,80
SPS/SFE,raw,7,4000,58.75,80
SPS/SFE,raw,8,4000,37.5,80
SPS/SFE,raw,9,4000,47.5,80
SPS/SFE,raw,10,4000,52.5,80
SPS/SFE,raw,11,4000,47.5,80
SPS/SFE,raw,12,4000,60.0,80
SPS/SFE,raw,13,4000,61.25000000000001,80
SPS/SFE,raw,14,4000,46.25,80
SPS/SFE,raw,15,4000,50.0,80
SPS/SFE,raw,16,4000,56.25,80
SPS/SFE,raw,17,4000,56.25,80
SPS/SFE,raw,18,4000,75.0,80
