pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WAA/SFE,raw,1,4000,1,50.0,83.33333333333333,18
WAA/SFE,raw,1,4000,2,72.22222222222223,83.33333333333333,18
WAA/SFE,raw,1,4000,3,77.77777777777777,77.77777777777777,18
WAA/SFE,raw,1,4000,4,33.333333333333336,88.88888888888889,18
WAA/SFE,raw,1,4000,5,61.111111111111114,77.77777777777777,18
WAA/SFE,raw,2,4000,1,50.0,75.0,16
WAA/SFE,raw,2,4000,2,50.0,56.25,16
WAA/SFE,raw,2,4000,3,50.0,68.75,16
WAA/SFE,raw,2,4000,4,56.25,75.0,16
WAA/SFE,raw,2,4000,5,50.0,68.75,16
WAA/SFE,raw,3,4000,1,75.0,87.5,16
WAA/SFE,raw,3,4000,2,68.75,87.5,16
WAA/SFE,raw,3,4000,3,87.5,93.75,16
WAA/SFE,raw,3,4000,4,87.5,68.75,16
WAA/SFE,raw,3,4000,5,87.5,75.0,16
WAA/SFE,raw,4,4000,1,87.5,93.75,16
WAA/SFE,raw,4,4000,2,87.5,87.5,16
WAA/SFE,raw,4,4000,3,75.0,93.75,16
WAA/SFE,raw,4,4000,4,87.5,87.5,16
WAA/SFE,raw,4,4000,5,62.5,100.0,16
WAA/SFE,raw,5,4000,1,29.41176470588235,75.0,17
WAA/SFE,raw,5,4000,2,81.25,70.58823529411765,16
WAA/SFE,raw,5,4000,3,50.0,70.58823529411765,16
WAA/SFE,raw,5,4000,4,50.0,70.58823529411765,16
WAA/SFE,raw,5,4000,5,31.25,94.11764705882354,16
WAA/SFE,raw,6,4000,1,68.75,62.5,16
WAA/SFE,raw,6,4000,2,56.25,68.75,16
WAA/SFE,raw,6,4000,3,87.5,68.75,16
WAA/SFE,raw,6,4000,4,68.75,68.75,16
WAA/SFE,raw,6,4000,5,50.0,87.5,16
WAA/SFE,raw,7,4000,1,50.0,75.0,16
WAA/SFE,raw,7,4000,2,87.5,68.75,16
WAA/SFE,raw,7,4000,3,75.0,56.25,16
WAA/SFE,raw,7,4000,4,43.75,68.75,16
WAA/SFE,raw,7,4000,5,62.5,62.5,16
WAA/SFE,raw,8,4000,1,68.75,50.0,16
WAA/SFE,raw,8,4000,2,56.25,68.75,16
WAA/SFE,raw,8,4000,3,56.25,50.0,16
WAA/SFE,raw,8,4000,4,56.25,56.25,16
WAA/SFE,raw,8,4000,5,56.25,50.0,16
WAA/SFE,raw,9,4000,1,62.5,75.0,16
WAA/SFE,raw,9,4000,2,62.5,56.25,16
WAA/SFE,raw,9,4000,3,50.0,62.5,16
WAA/SFE,raw,9,4000,4,62.5,56.25,16
WAA/SFE,raw,9,4000,5,37.5,56.25,16
WAA/SFE,raw,10,4000,1,56.25,87.5,16
WAA/SFE,raw,10,4000,2,75.0,50.0,16
WAA/SFE,raw,10,4000,3,56.25,56.25,16
WAA/SFE,raw,10,4000,4,62.5,62.5,16
WAA/SFE,raw,10,4000,5,43.75,68.75,16
WAA/SFE,raw,11,4000,1,75.0,75.0,16
WAA/SFE,raw,11,4000,2,50.0,56.25,16
WAA/SFE,raw,11,4000,3,56.25,68.75,16
WAA/SFE,raw,11,4000,4,87.5,56.25,16
WAA/SFE,raw,11,4000,5,75.0,62.5,16
WAA/SFE,raw,12,4000,1,43.75,68.75,16
WAA/SFE,raw,12,4000,2,75.0,56.25,16
WAA/SFE,raw,12,4000,3,43.75,62.5,16
WAA/SFE,raw,12,4000,4,50.0,62.5,16
WAA/SFE,raw,12,4000,5,18.75,68.75,16
WAA/SFE,raw,13,4000,1,68.75,56.25,16
WAA/SFE,raw,13,4000,2,68.75,75.0,16
WAA/SFE,raw,13,4000,3,75.0,75.0,16
WAA/SFE,raw,13,4000,4,56.25,87.5,16
WAA/SFE,raw,13,4000,5,62.5,81.25,16
WAA/SFE,raw,14,4000,1,50.0,62.5,16
WAA/SFE,raw,14,4000,2,68.75,68.75,16
WAA/SFE,raw,14,4000,3,56.25,68.75,16
WAA/SFE,raw,14,4000,4,75.0,68.75,16
WAA/SFE,raw,14,4000,5,81.25,62.5,16
WAA/SFE,raw,15,4000,1,31.25,50.0,16
WAA/SFE,raw,15,4000,2,43.75,62.5,16
WAA/SFE,raw,15,4000,3,62.5,68.75,16
WAA/SFE,raw,15,4000,4,56.25,62.5,16
WAA/SFE,raw,15,4000,5,37.5,56.25,16
WAA/SFE,raw,16,4000,1,37.5,56.25,16
WAA/SFE,raw,16,4000,2,37.5,56.25,16
WAA/SFE,raw,16,4000,3,68.75,56.25,16
WAA/SFE,raw,16,4000,4,50.0,62.5,16
WAA/SFE,raw,16,4000,5,50.0,56.25,16
WAA/SFE,raw,17,4000,1,75.0,93.75,16
WAA/SFE,raw,17,4000,2,75.0,87.5,16
WAA/SFE,raw,17,4000,3,56.25,81.25,16
WAA/SFE,raw,17,4000,4,75.0,87.5,16
WAA/SFE,raw,17,4000,5,75.0,87.5,16
WAA/SFE,raw,18,4000,1,81.25,75.0,16
WAA/SFE,raw,18,4000,2,68.75,62.5,16
WAA/SFE,raw,18,4000,3,68.75,68.75,16
WAA/SFE,raw,18,4000,4,75.0,56.25,16
WAA/SFE,raw,18,4000,5,81.25,68.75,16
