pair,mode,subject,window_ms,accuracy,n_test
WAA/SFE,raw,1,4000,58.88888888888889,90
WAA/SFE,raw,2,4000,51.24999999999999,80
WAA/SFE,raw,3,4000,81.25,80
WAA/SFE,raw,4,4000,80.0,80
WAA/SFE,raw,5,4000,48.148148148148145,81
WAA/SFE,raw,6,4000,66.25,80
WAA/SFE,raw,7,4000,63.74999999999999,80
WAA/SFE,raw,8,4000,58.75,80
WAA/SFE,raw,9,4000,55.00000000000001,80
WAA/SFE,raw,10,4000,58.75,80
WAA/SFE,raw,11,4000,68.75,80
WAA/SFE,raw,12,4000,46.25,80
WAA/SFE,raw,13,4000,66.25,80
WAA/SFE,raw,14,4000,66.25,80
WAA/SFE,raw,15,4000,46.25,80
WAA/SFE,raw,16,4000,48.75,80
WAA/SFE,raw,17,4000,71.25,80
WAA/SFE,raw,18,4000,75.0,80
