pair,mode,subject,window_ms,accuracy,n_test
WFE/EFE,raw,1,4000,52.22222222222223,90
WFE/EFE,raw,2,4000,55.00000000000001,80
WFE/EFE,raw,3,4000,61.25000000000001,80
WFE/EFE,raw,4,4000,58.75,80
WFE/EFE,raw,5,4000,50.0,80
WFE/EFE,raw,6,4000,58.75,80
WFE/EFE,raw,7,4000,66.25,80
WFE/EFE,raw,8,4000,52.5,80
WFE/EFE,raw,9,4000,57.49999999999999,80
WFE/EFE,raw,10,4000,68.75,80
WFE/EFE,raw,11,4000,53.75,80
WFE/EFE,raw,12,4000,52.5,80
WFE/EFE,raw,13,4000,45.0,80
WFE/EFE,raw,14,4000,58.75,80
WFE/EFE,raw,15,4000,47.5,80
WFE/EFE,raw,16,4000,66.25,80
WFE/EFE,raw,17,4000,42.5,80
WFE/EFE,raw,18,4000,51.24999999999999,80
